entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-21 04:34:18,KXBTC15M-26MAR210445-45,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T08:45:10.852486Z
2026-03-21 04:53:52,KXBTC15M-26MAR210500-00,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T09:00:10.854798Z
2026-03-21 05:04:45,KXBTC15M-26MAR210515-15,yes,5,90,91,,91,4.55,,,,,,,win,kalshi_api,yes,0.45,9.8901,finalized,yes,2026-03-21T09:15:10.858138Z
2026-03-21 05:21:00,KXBTC15M-26MAR210530-30,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T09:30:10.851849Z
2026-03-21 05:38:04,KXBTC15M-26MAR210545-45,yes,5,92,92,,92,4.6,,,,,,,win,kalshi_api,yes,0.4,8.6957,finalized,yes,2026-03-21T09:45:10.84971Z
2026-03-21 05:58:03,KXBTC15M-26MAR210600-00,yes,5,91,91,,91,4.55,,,,,,,win,kalshi_api,yes,0.45,9.8901,finalized,yes,2026-03-21T10:00:12.954601Z
2026-03-21 06:13:03,KXBTC15M-26MAR210615-15,no,5,93,93,,93,4.65,,,,,,,win,kalshi_api,no,0.35,7.5269,finalized,no,2026-03-21T10:15:10.855307Z
2026-03-21 06:22:27,KXBTC15M-26MAR210630-30,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T10:30:10.803276Z
2026-03-21 06:43:50,KXBTC15M-26MAR210645-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T10:45:10.904121Z
2026-03-21 06:57:54,KXBTC15M-26MAR210700-00,yes,5,92,92,,92,4.6,,,,,,,win,kalshi_api,yes,0.4,8.6957,finalized,yes,2026-03-21T11:00:10.850626Z
2026-03-21 07:12:50,KXBTC15M-26MAR210715-15,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T11:15:10.797762Z
2026-03-21 07:25:43,KXBTC15M-26MAR210730-30,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T11:30:10.85238Z
2026-03-21 07:41:28,KXBTC15M-26MAR210745-45,yes,5,90,92,,92,4.6,2026-03-21 07:41:58,61,60,,60,3.0,exited_before_settlement,bot_exit_signal,,-1.6,-34.7826,,,
2026-03-21 07:55:13,KXBTC15M-26MAR210800-00,no,5,90,90,,90,4.5,2026-03-21 07:56:21,76,75,,75,3.75,exited_before_settlement,bot_exit_signal,,-0.75,-16.6667,,,
2026-03-21 08:09:17,KXBTC15M-26MAR210815-15,yes,5,90,91,,91,4.55,,,,,,,win,kalshi_api,yes,0.45,9.8901,finalized,yes,2026-03-21T12:15:10.844679Z
2026-03-21 08:22:06,KXBTC15M-26MAR210830-30,yes,5,91,91,,91,4.55,,,,,,,win,kalshi_api,yes,0.45,9.8901,finalized,yes,2026-03-21T12:30:10.851333Z
