dataset,policy,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,coverage_pass,positive_net
current,v2_wait_score_min60_brownian70_early,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,v2_wait_score_min60_brownian70_early,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-82.0,-1.0,80.0,True,False
v21,frontier_v2,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,12,7,0.631578947368421,61.0,0.053555750658472345,58.0,True,True
v21,frontier_v2,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,13,7,0.65,61.0,0.04923325262308313,59.0,True,True
v21,frontier_v2,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,15,5,0.75,231.0,0.18203309692671396,61.0,True,True
v21,frontier_v2,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,15,5,0.75,241.0,0.19142176330420968,59.5,True,True
v21,frontier_v2,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,20,1.0,11,9,0.55,-117.0,-0.0961380443714051,59.5,True,False
v21,frontier_v2,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,13,7,0.65,51.0,0.04083266613290633,60.5,True,True
v21,frontier_v2,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,15,5,0.75,236.0,0.18670886075949367,61.0,True,True
v21,frontier_v2,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,11,9,0.55,-124.0,-0.10130718954248366,60.0,True,False
v21,frontier_v2,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,14,6,0.7,181.0,0.14848236259228875,60.0,True,True
v21,frontier_v2,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,16,4,0.8,353.0,0.2830793905372895,59.5,True,True
v21,frontier_v2,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,13,6,0.6842105263157895,72.0,0.05863192182410423,62.0,True,True
v21,frontier_v2,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
v21,book_margin,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,70.0,True,True
v21,book_margin,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,65.0,True,False
v21,book_margin,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,65.0,True,False
v21,book_margin,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,66.0,True,False
v21,book_margin,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,65.5,True,True
v21,book_margin,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,66.5,True,True
v21,book_margin,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,64.5,True,True
v21,book_margin,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,64.5,True,True
v21,book_margin,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,63.5,True,False
v21,book_margin,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,67.0,True,True
v21,book_margin,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,68.0,True,True
v21,book_margin,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
v21,book_margin_early,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,70.0,True,True
v21,book_margin_early,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,19,0.95,10,9,0.5263157894736842,-315.0,-0.23954372623574144,65.0,True,False
v21,book_margin_early,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,19,0.95,12,7,0.631578947368421,-119.0,-0.09021986353297953,65.0,True,False
v21,book_margin_early,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,18,0.9,13,5,0.7222222222222222,62.0,0.050080775444264945,65.5,True,True
v21,book_margin_early,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,17,0.85,14,3,0.8235294117647058,239.0,0.2058570198105082,66.0,True,True
v21,book_margin_early,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,66.5,True,True
v21,book_margin_early,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,64.5,True,True
v21,book_margin_early,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,19,0.95,15,4,0.7894736842105263,194.0,0.14854517611026033,65.0,True,True
v21,book_margin_early,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,19,0.95,10,9,0.5263157894736842,-265.0,-0.20948616600790515,63.0,True,False
v21,book_margin_early,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,67.0,True,True
v21,book_margin_early,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,17,0.85,12,5,0.7058823529411765,-12.0,-0.009900990099009901,68.0,True,False
v21,book_margin_early,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
v21,book_margin_gap015,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,70.0,True,True
v21,book_margin_gap015,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,19,0.95,10,9,0.5263157894736842,-306.0,-0.2343032159264931,65.0,True,False
v21,book_margin_gap015,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,65.0,True,False
v21,book_margin_gap015,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,66.0,True,False
v21,book_margin_gap015,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,18,0.9,12,6,0.6666666666666666,-30.0,-0.024390243902439025,65.5,True,False
v21,book_margin_gap015,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,66.5,True,True
v21,book_margin_gap015,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,64.5,True,True
v21,book_margin_gap015,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,64.5,True,True
v21,book_margin_gap015,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,63.5,True,False
v21,book_margin_gap015,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,18,0.9,15,3,0.8333333333333334,258.0,0.20772946859903382,66.5,True,True
v21,book_margin_gap015,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,68.0,True,True
v21,book_margin_gap015,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
v21,score_min60,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,17,2,0.8947368421052632,302.0,0.21602288984263232,70.0,True,True
v21,score_min60,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-214.0,-0.15134370579915135,66.0,True,False
v21,score_min60,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-130.0,-0.09090909090909091,68.0,True,False
v21,score_min60,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,12,8,0.6,-228.0,-0.15966386554621848,71.0,True,False
v21,score_min60,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,107.0,0.08275328692962104,65.0,True,True
