dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,median_seconds_to_close,positive_net,coverage_pass
v21,book_margin_wait480_locked,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,70.0,779.317226,True,True
v21,book_margin_wait480_locked,1,20,19,0.95,10,9,0.5263157894736842,-315.0,-0.23954372623574144,65.0,839.422146,False,True
v21,book_margin_wait480_locked,2,20,19,0.95,12,7,0.631578947368421,-119.0,-0.09021986353297953,65.0,839.466025,False,True
v21,book_margin_wait480_locked,3,20,18,0.9,13,5,0.7222222222222222,62.0,0.050080775444264945,65.5,809.657818,True,True
v21,book_margin_wait480_locked,4,20,17,0.85,14,3,0.8235294117647058,239.0,0.2058570198105082,66.0,779.874554,True,True
v21,book_margin_wait480_locked,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,66.5,839.166109,True,True
v21,book_margin_wait480_locked,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,64.5,839.2259785,True,True
v21,book_margin_wait480_locked,7,20,19,0.95,15,4,0.7894736842105263,194.0,0.14854517611026033,65.0,779.717922,True,True
v21,book_margin_wait480_locked,8,20,19,0.95,10,9,0.5263157894736842,-265.0,-0.20948616600790515,63.0,779.939051,False,True
v21,book_margin_wait480_locked,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,67.0,779.279792,True,True
v21,book_margin_wait480_locked,10,20,17,0.85,12,5,0.7058823529411765,-12.0,-0.009900990099009901,68.0,779.190224,False,True
v21,book_margin_wait480_locked,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,839.635674,True,True
v21,book_margin_max780,0,20,19,0.95,16,3,0.8421052631578947,213.0,0.15356885364095169,70.0,779.096396,True,True
v21,book_margin_max780,1,20,20,1.0,12,8,0.6,-270.0,-0.1836734693877551,70.0,779.4584375,False,True
v21,book_margin_max780,2,20,20,1.0,13,7,0.65,-138.0,-0.09596662030598054,67.5,749.483189,False,True
v21,book_margin_max780,3,20,20,1.0,11,9,0.55,-359.0,-0.24605894448252227,70.0,779.1095975000001,False,True
v21,book_margin_max780,4,20,20,1.0,14,6,0.7,5.0,0.0035842293906810036,66.5,719.6818205,True,True
v21,book_margin_max780,5,20,20,1.0,16,4,0.8,158.0,0.10957004160887657,68.0,749.4816525,True,True
v21,book_margin_max780,6,20,20,1.0,16,4,0.8,128.0,0.08695652173913043,69.0,779.4168385,True,True
v21,book_margin_max780,7,20,20,1.0,15,5,0.75,82.0,0.05782792665726375,67.0,719.63513,True,True
v21,book_margin_max780,8,20,20,1.0,11,9,0.55,-268.0,-0.195906432748538,65.0,779.266826,False,True
v21,book_margin_max780,9,20,20,1.0,15,5,0.75,71.0,0.0496850944716585,67.5,719.6126730000001,True,True
v21,book_margin_max780,10,20,19,0.95,14,5,0.7368421052631579,0.0,0.0,71.0,701.301105,False,True
v21,book_margin_max780,11,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,599.629771,True,True
v21,book_margin_window360_780,0,20,19,0.95,16,3,0.8421052631578947,213.0,0.15356885364095169,70.0,779.096396,True,True
v21,book_margin_window360_780,1,20,20,1.0,12,8,0.6,-270.0,-0.1836734693877551,70.0,779.4584375,False,True
v21,book_margin_window360_780,2,20,19,0.95,12,7,0.631578947368421,-153.0,-0.1130820399113082,67.0,779.006226,False,True
v21,book_margin_window360_780,3,20,20,1.0,11,9,0.55,-359.0,-0.24605894448252227,70.0,779.1095975000001,False,True
v21,book_margin_window360_780,4,20,18,0.9,14,4,0.7777777777777778,145.0,0.11553784860557768,66.5,749.4570345,True,True
