mode,family,label,score_feature,min_score,ask_max,require_book_agreement,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.75; book agrees; ask<=100,brownian_p_rv_30m,0.75,100.0,True,False,False,2552,2408,0.9435736677115988,0.4613159797541576,5532,1501,1410,0.9393737508327782,0.4522446520036155,3319,539,516,0.9573283858998145,0.4873417721518987,1106,512,482,0.94140625,0.46251129177958444,1107
two_side_minute_bucket,book,book_p_side>=0.80; ask<=100,book_p_side,0.8,100.0,False,False,False,2611,2488,0.9528916124090386,0.4719812002892263,5532,1502,1429,0.9513981358189081,0.4525459475745707,3319,562,545,0.9697508896797153,0.5081374321880651,1106,547,514,0.9396709323583181,0.4941282746160795,1107
two_side_minute_bucket,mean_book_rv15_drift5,score_mean_book_rv15_drift5>=0.85; ask<=100,score_mean_book_rv15_drift5,0.85,100.0,False,False,False,2333,2230,0.9558508358336906,0.42172812725958064,5532,1347,1288,0.9561989606533037,0.40584513407652906,3319,491,477,0.9714867617107943,0.44394213381555153,1106,495,465,0.9393939393939394,0.44715447154471544,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.75; ask<=100,score_min_book_rv15,0.75,100.0,False,False,False,2523,2396,0.9496630994847404,0.45607375271149675,5532,1470,1392,0.9469387755102041,0.4429044893040072,3319,530,513,0.9679245283018868,0.47920433996383366,1106,523,491,0.9388145315487572,0.47244805781391147,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.75; ask<=100,brownian_p_rv_15m,0.75,100.0,False,False,False,2612,2459,0.9414241960183767,0.47216196673897326,5532,1536,1442,0.9388020833333334,0.4627899969870443,3319,544,521,0.9577205882352942,0.4918625678119349,1106,532,496,0.9323308270676691,0.48057813911472447,1107
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.75; book agrees; ask<=100,brownian_p_rv_15m,0.75,100.0,True,False,False,2612,2459,0.9414241960183767,0.47216196673897326,5532,1536,1442,0.9388020833333334,0.4627899969870443,3319,544,521,0.9577205882352942,0.4918625678119349,1106,532,496,0.9323308270676691,0.48057813911472447,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.75; ask<=100,score_mean_book_rv15,0.75,100.0,False,False,False,2781,2612,0.9392304926285509,0.5027114967462039,5532,1621,1519,0.9370758790869833,0.4884001205182284,3319,585,560,0.9572649572649573,0.5289330922242315,1106,575,533,0.9269565217391305,0.5194218608852755,1107
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.70; ask<=100,brownian_p_rv_30m,0.7,100.0,False,False,False,2916,2681,0.9194101508916324,0.527114967462039,5532,1710,1562,0.9134502923976608,0.5152154263332329,3319,620,580,0.9354838709677419,0.5605786618444847,1106,586,539,0.9197952218430034,0.5293586269196026,1107
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.70; book agrees; ask<=100,brownian_p_rv_30m,0.7,100.0,True,False,False,2915,2680,0.9193825042881647,0.5269342010122922,5532,1709,1561,0.9133996489174956,0.5149141307622778,3319,620,580,0.9354838709677419,0.5605786618444847,1106,586,539,0.9197952218430034,0.5293586269196026,1107
two_side_minute_bucket,mean_book_rv15_drift5,score_mean_book_rv15_drift5>=0.80; ask<=100,score_mean_book_rv15_drift5,0.8,100.0,False,False,False,2741,2565,0.935789857716162,0.4954808387563268,5532,1593,1493,0.9372253609541745,0.4799638445314854,3319,588,558,0.9489795918367347,0.5316455696202531,1106,560,514,0.9178571428571428,0.5058717253839206,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.95; ask<=95,score_min_book_rv15,0.95,95.0,False,False,False,12,11,0.9166666666666666,0.0021691973969631237,5532,9,8,0.8888888888888888,0.0027116601385959627,3319,1,1,1.0,0.0009041591320072332,1106,2,2,1.0,0.0018066847335140017,1107
