mode,split,model,horizon_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_minute_bucket,train,v34_h120_t100,120,1.0,5876,2938,0.1527367562863673,0.45602927523838394,0.021933633357803226,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h120_t100,120,1.0,1964,982,0.13735803234156638,0.4102127081688063,0.010262026881735282,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h120_t100,120,1.0,1956,978,0.15060104394698423,0.44717019410816117,0.013682421570436504,745,0.7617586912065439
two_side_minute_bucket,all,v34_h120_t102,120,1.02,9796,4898,0.14930346877774245,0.4451833797466442,0.017058315396387802,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h120_t102,120,1.02,5876,2938,0.15284381202199082,0.456211462036388,0.022645969896104984,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h120_t102,120,1.02,1964,982,0.1373482939554069,0.41013849717623646,0.0076317676011510025,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h120_t102,120,1.02,1956,978,0.15067203035640478,0.4472422436698274,0.016336592400394905,745,0.7617586912065439
two_side_minute_bucket,all,v34_h130_t098,130,0.98,9796,4898,0.14907935853841028,0.4448458379349011,0.014339403199282697,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h130_t098,130,0.98,5876,2938,0.1525505786882608,0.4558063583651125,0.019404537479644185,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h130_t098,130,0.98,1964,982,0.1373484851407399,0.4101097873430951,0.009398979141670505,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h130_t098,130,0.98,1956,978,0.15043035329940355,0.4467975686682266,0.011479357786381029,745,0.7617586912065439
two_side_minute_bucket,all,v34_h130_t100,130,1.0,9796,4898,0.14913550151624919,0.44484618441174023,0.01499105369201816,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h130_t100,130,1.0,5876,2938,0.1526379475526071,0.45587998412083647,0.019768445050939124,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h130_t100,130,1.0,1964,982,0.13731606174879074,0.40991736613611685,0.009613560377479801,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h130_t100,130,1.0,1956,978,0.1504816195089124,0.4467713336973613,0.012112834197432155,745,0.7617586912065439
two_side_minute_bucket,all,v34_h130_t102,130,1.02,9796,4898,0.14920273240735235,0.4449077074595188,0.017129566120557937,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h130_t102,130,1.02,5876,2938,0.1527356912045793,0.4560116394168451,0.022474588995003094,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h130_t102,130,1.02,1964,982,0.13729733435781274,0.40979906256742615,0.009820924935773113,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h130_t102,130,1.02,1956,978,0.15054349717053753,0.44680273526464176,0.01412186348092207,745,0.7617586912065439
two_side_minute_bucket,all,v34_h140_t098,140,0.98,9796,4898,0.14901069013041585,0.4447407447446679,0.013830652562272122,3761,0.7678644344630461
