dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
v21,book_margin_window480_720,hour,3,6,3,3,0.5,-123.0,-20.5,63.0,719.1738365
v21,book_margin_window480_720,hour,4,8,6,2,0.75,22.0,2.75,64.5,689.2525135000001
v21,book_margin_window480_720,hour,5,11,10,1,0.9090909090909091,153.0,13.909090909090908,76.0,719.623259
v21,book_margin_window480_720,hour,6,6,5,1,0.8333333333333334,67.0,11.166666666666666,71.0,689.633756
v21,book_margin_window480_720,hour,7,6,5,1,0.8333333333333334,74.0,12.333333333333334,66.5,689.3431955000001
v21,book_margin_window480_720,hour,8,5,2,3,0.4,-157.0,-31.4,72.0,719.17016
v21,book_margin_window480_720,hour,9,8,7,1,0.875,120.0,15.0,69.0,719.1702104999999
v21,book_margin_window480_720,ask,ask<=70,109,73,36,0.6697247706422018,-20.0,-0.1834862385321101,65.0,719.176977
v21,book_margin_window480_720,ask,ask<=80,57,44,13,0.7719298245614035,1.0,0.017543859649122806,75.0,719.277963
v21,book_margin_window480_720,ask,ask<=95,31,30,1,0.967741935483871,314.0,10.129032258064516,84.0,719.455426
v21,book_margin_window480_720,time,sec<=600,32,24,8,0.75,108.0,3.375,68.0,599.4385649999999
v21,book_margin_window480_720,time,sec<=720,165,123,42,0.7454545454545455,187.0,1.1333333333333333,69.0,719.376381
v21,book_margin_window480_720,score,p<=0.60,2,1,1,0.5,-26.0,-13.0,61.0,629.252975
v21,book_margin_window480_720,score,p<=0.65,60,38,22,0.6333333333333333,-106.0,-1.7666666666666666,63.0,719.1944645
v21,book_margin_window480_720,score,p<=0.70,48,35,13,0.7291666666666666,139.0,2.8958333333333335,68.0,719.1710905
v21,book_margin_window480_720,score,p<=0.80,56,43,13,0.7678571428571429,-26.0,-0.4642857142857143,75.0,719.2869385
v21,book_margin_window480_720,score,p>0.80,31,30,1,0.967741935483871,314.0,10.129032258064516,84.0,719.455426
v21,book_margin_window540_720,split,holdout,37,27,10,0.7297297297297297,-31.0,-0.8378378378378378,71.0,719.132241
v21,book_margin_window540_720,split,train,114,86,28,0.7543859649122807,254.0,2.2280701754385963,69.0,719.345707
v21,book_margin_window540_720,split,validation,40,30,10,0.75,133.0,3.325,67.0,719.2404385
v21,book_margin_window540_720,side,no,92,68,24,0.7391304347826086,119.0,1.2934782608695652,69.0,719.2358790000001
v21,book_margin_window540_720,side,yes,99,75,24,0.7575757575757576,237.0,2.393939393939394,69.0,719.314906
v21,book_margin_window540_720,hour,0,7,3,4,0.42857142857142855,-219.0,-31.285714285714285,72.0,719.176977
v21,book_margin_window540_720,hour,1,7,5,2,0.7142857142857143,-2.0,-0.2857142857142857,69.0,719.049713
v21,book_margin_window540_720,hour,10,10,9,1,0.9,146.0,14.6,74.5,719.1181939999999
v21,book_margin_window540_720,hour,11,12,11,1,0.9166666666666666,234.0,19.5,68.0,719.3281095
v21,book_margin_window540_720,hour,12,11,9,2,0.8181818181818182,79.0,7.181818181818182,72.0,719.251203
v21,book_margin_window540_720,hour,13,11,7,4,0.6363636363636364,-119.0,-10.818181818181818,69.0,719.406429
v21,book_margin_window540_720,hour,14,11,7,4,0.6363636363636364,-115.0,-10.454545454545455,68.0,719.314906
v21,book_margin_window540_720,hour,15,10,6,4,0.6,-104.0,-10.4,68.0,680.2202685
v21,book_margin_window540_720,hour,16,8,6,2,0.75,28.0,3.5,66.5,719.4296835
v21,book_margin_window540_720,hour,17,7,5,2,0.7142857142857143,1.0,0.14285714285714285,69.0,719.101909
v21,book_margin_window540_720,hour,18,8,6,2,0.75,7.0,0.875,67.0,719.4823935
v21,book_margin_window540_720,hour,19,6,4,2,0.6666666666666666,-28.0,-4.666666666666667,69.0,719.2645689999999
v21,book_margin_window540_720,hour,2,7,5,2,0.7142857142857143,2.0,0.2857142857142857,67.0,719.693119
v21,book_margin_window540_720,hour,20,8,4,4,0.5,-184.0,-23.0,72.0,719.230735
v21,book_margin_window540_720,hour,21,8,7,1,0.875,87.0,10.875,74.5,719.454327
v21,book_margin_window540_720,hour,22,7,7,0,1.0,157.0,22.428571428571427,75.0,719.052381
v21,book_margin_window540_720,hour,23,6,6,0,1.0,205.0,34.166666666666664,63.0,719.2618
v21,book_margin_window540_720,hour,3,6,3,3,0.5,-123.0,-20.5,63.0,719.1738365
v21,book_margin_window540_720,hour,4,8,6,2,0.75,22.0,2.75,64.5,689.2525135000001
v21,book_margin_window540_720,hour,5,11,10,1,0.9090909090909091,153.0,13.909090909090908,76.0,719.623259
v21,book_margin_window540_720,hour,6,5,4,1,0.8,45.0,9.0,69.0,719.688659
v21,book_margin_window540_720,hour,7,4,4,0,1.0,121.0,30.25,66.5,719.294786
v21,book_margin_window540_720,hour,8,5,2,3,0.4,-157.0,-31.4,72.0,719.17016
v21,book_margin_window540_720,hour,9,8,7,1,0.875,120.0,15.0,69.0,719.1702104999999
v21,book_margin_window540_720,ask,ask<=70,107,71,36,0.6635514018691588,-88.0,-0.822429906542056,65.0,719.189838
v21,book_margin_window540_720,ask,ask<=80,54,43,11,0.7962962962962963,136.0,2.5185185185185186,75.0,719.3052090000001
v21,book_margin_window540_720,ask,ask<=95,30,29,1,0.9666666666666667,308.0,10.266666666666667,84.0,719.4673255
v21,book_margin_window540_720,time,sec<=600,26,20,6,0.7692307692307693,169.0,6.5,67.5,599.4917005
v21,book_margin_window540_720,time,sec<=720,165,123,42,0.7454545454545455,187.0,1.1333333333333333,69.0,719.376381
v21,book_margin_window540_720,score,p<=0.60,2,1,1,0.5,-26.0,-13.0,61.0,629.252975
v21,book_margin_window540_720,score,p<=0.65,58,36,22,0.6206896551724138,-174.0,-3.0,63.0,719.2287309999999
v21,book_margin_window540_720,score,p<=0.70,48,35,13,0.7291666666666666,139.0,2.8958333333333335,68.0,719.1710905
v21,book_margin_window540_720,score,p<=0.80,53,42,11,0.7924528301886793,109.0,2.056603773584906,75.0,719.314504
v21,book_margin_window540_720,score,p>0.80,30,29,1,0.9666666666666667,308.0,10.266666666666667,84.0,719.4673255
v21,book_margin_window600_720,split,holdout,29,22,7,0.7586206896551724,36.0,1.2413793103448276,72.0,719.344771
v21,book_margin_window600_720,split,train,104,77,27,0.7403846153846154,45.0,0.4326923076923077,69.0,719.4080805000001
v21,book_margin_window600_720,split,validation,32,24,8,0.75,106.0,3.3125,67.0,719.307245
v21,book_margin_window600_720,side,no,77,56,21,0.7272727272727273,-40.0,-0.5194805194805194,70.0,719.344771
v21,book_margin_window600_720,side,yes,88,67,21,0.7613636363636364,227.0,2.5795454545454546,69.0,719.410719
