dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_brier,all_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_brier,train_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_brier,validation_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_brier,holdout_logloss,oos_positive,oos_coverage_pass
current,prob3_C0.1,0.0,307,147,121,26,0.8231292517006803,0.7534560867727113,0.4788273615635179,861.0,0.07660823916718569,77.0,0.13740934166939855,0.4382058875609974,184,93,77,16,0.8279569892473119,0.7386611476514642,0.5054347826086957,718.0,0.10283586364938413,75.0,0.1417247330562776,0.45461473654024714,61,32,27,5,0.84375,0.6824585040246961,0.5245901639344263,163.0,0.06424911312573907,83.0,0.13491137713936552,0.42682265262242475,62,22,17,5,0.7727272727272727,0.5656004682477829,0.3548387096774194,-20.0,-0.011627906976744186,80.0,0.12280040830491239,0.3853986404230024,False,False
v21,prob3_C0.1,0.0,221,60,52,8,0.8666666666666667,0.7583484032350039,0.27149321266968324,142.0,0.02807433768287861,86.0,0.12681228017366378,0.42550626166696354,132,34,26,8,0.7647058823529411,0.600038620774636,0.25757575757575757,-279.0,-0.09690864883640153,84.5,0.19495095881059218,0.6119745525048929,44,9,9,0,1.0,0.700854951580456,0.20454545454545456,144.0,0.19047619047619047,90.0,0.03811006757138663,0.18123749617409007,45,17,17,0,1.0,0.8156818649911483,0.37777777777777777,277.0,0.19465917076598735,87.0,0.03749491780689482,0.1818884381932142,True,False
current,prob3_C0.1,2.0,307,37,30,7,0.8108108108108109,0.6579530307016159,0.12052117263843648,174.0,0.06157112526539278,76.0,0.12537170102956388,0.3937322435583346,184,26,22,4,0.8461538461538461,0.6646880067178652,0.14130434782608695,205.0,0.10275689223057644,75.5,0.09879408444153627,0.3304996967930405,61,7,6,1,0.8571428571428571,0.48687217072568106,0.11475409836065574,61.0,0.11317254174397032,77.0,0.09193979466549355,0.2995500325147841,62,4,2,2,0.5,0.15003898915214947,0.06451612903225806,-92.0,-0.3150684931506849,74.0,0.35663204498886625,0.9695626668589601,False,False
v21,prob3_C0.1,2.0,221,5,5,0,1.0,0.5655175352168252,0.02262443438914027,104.0,0.26262626262626265,82.0,0.041279865036474614,0.20485404855588535,132,3,3,0,1.0,0.4385029682449545,0.022727272727272728,64.0,0.2711864406779661,82.0,0.045126865938008215,0.20995059027182064,44,1,1,0,1.0,0.20654931437723742,0.022727272727272728,13.0,0.14942528735632185,86.0,0.012036018795227386,0.11620666851042753,45,1,1,0,1.0,0.20654931437723742,0.022222222222222223,27.0,0.3698630136986301,71.0,0.05898270857312106,0.2782118034535373,True,False
current,prob3_C0.1,5.0,307,8,6,2,0.75,0.40927543031016894,0.026058631921824105,-14.0,-0.02280130293159609,77.5,0.13737815434835943,0.39963468486286635,184,4,3,1,0.75,0.3006418425824019,0.021739130434782608,7.0,0.023890784982935155,71.5,0.1447117065819603,0.43969972716186273,61,3,3,0,1.0,0.4385029682449545,0.04918032786885246,43.0,0.16731517509727625,86.0,0.004112002410263692,0.06376390540298117,62,1,0,1,0.0,0.0,0.016129032258064516,-64.0,-1.0,62.0,0.5078424012282431,1.246986854046536,False,False
v21,prob3_C0.1,5.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.1,10.0,307,1,1,0,1.0,0.20654931437723742,0.003257328990228013,21.0,0.26582278481012656,77.0,0.005292184448549358,0.07552926041829551,184,0,0,0,,,0.0,0.0,,,,,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,21.0,0.26582278481012656,77.0,0.005292184448549358,0.07552926041829551,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.1,10.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.1,15.0,307,1,1,0,1.0,0.20654931437723742,0.003257328990228013,53.0,1.127659574468085,45.0,0.03243055810406815,0.19855443629576908,184,0,0,0,,,0.0,0.0,,,,,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,53.0,1.127659574468085,45.0,0.03243055810406815,0.19855443629576908,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.1,15.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.1,20.0,307,1,1,0,1.0,0.20654931437723742,0.003257328990228013,53.0,1.127659574468085,45.0,0.03243055810406815,0.19855443629576908,184,0,0,0,,,0.0,0.0,,,,,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,53.0,1.127659574468085,45.0,0.03243055810406815,0.19855443629576908,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.1,20.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
