model,min_edge_cents,cost_cents,block_kind,block,denominator_markets,selected_markets,coverage,wins,losses,gross_net_cents,net_after_cost_cents
book_v33_drift3_platt,1.0,0.0,block10,6,33,33,1.0,20,13,140.0,140.0
book_v33_drift3_platt,1.0,0.0,block10,7,33,33,1.0,18,15,-63.0,-63.0
book_v33_drift3_platt,1.0,0.0,block10,8,33,33,1.0,23,10,467.0,467.0
book_v33_drift3_platt,1.0,0.0,block10,9,33,33,1.0,18,15,-14.0,-14.0
book_v33_drift3_platt,1.0,0.0,block20,0,17,17,1.0,11,6,133.0,133.0
book_v33_drift3_platt,1.0,0.0,block20,1,16,16,1.0,10,6,84.0,84.0
book_v33_drift3_platt,1.0,0.0,block20,2,17,17,1.0,7,10,-232.0,-232.0
book_v33_drift3_platt,1.0,0.0,block20,3,16,16,1.0,8,8,-93.0,-93.0
book_v33_drift3_platt,1.0,0.0,block20,4,17,17,1.0,12,5,224.0,224.0
book_v33_drift3_platt,1.0,0.0,block20,5,16,16,1.0,9,7,-20.0,-20.0
book_v33_drift3_platt,1.0,0.0,block20,6,17,17,1.0,11,6,117.0,117.0
book_v33_drift3_platt,1.0,0.0,block20,7,16,16,1.0,9,7,-46.0,-46.0
book_v33_drift3_platt,1.0,0.0,block20,8,17,17,1.0,9,8,-57.0,-57.0
book_v33_drift3_platt,1.0,0.0,block20,9,16,16,1.0,9,7,-105.0,-105.0
book_v33_drift3_platt,1.0,0.0,block20,10,16,16,1.0,10,6,-52.0,-52.0
book_v33_drift3_platt,1.0,0.0,block20,11,17,16,0.9411764705882353,11,5,186.0,186.0
book_v33_drift3_platt,1.0,0.0,block20,12,16,16,1.0,8,8,-132.0,-132.0
book_v33_drift3_platt,1.0,0.0,block20,13,17,17,1.0,12,5,272.0,272.0
book_v33_drift3_platt,1.0,0.0,block20,14,16,16,1.0,9,7,-29.0,-29.0
book_v33_drift3_platt,1.0,0.0,block20,15,17,17,1.0,9,8,-34.0,-34.0
book_v33_drift3_platt,1.0,0.0,block20,16,16,16,1.0,11,5,210.0,210.0
book_v33_drift3_platt,1.0,0.0,block20,17,17,17,1.0,12,5,257.0,257.0
book_v33_drift3_platt,1.0,0.0,block20,18,16,16,1.0,9,7,35.0,35.0
book_v33_drift3_platt,1.0,0.0,block20,19,17,17,1.0,9,8,-49.0,-49.0
book_v33_drift3_platt,1.0,1.0,block10,0,33,33,1.0,21,12,217.0,184.0
book_v33_drift3_platt,1.0,1.0,block10,1,33,33,1.0,15,18,-325.0,-358.0
book_v33_drift3_platt,1.0,1.0,block10,2,33,33,1.0,21,12,204.0,171.0
book_v33_drift3_platt,1.0,1.0,block10,3,33,33,1.0,20,13,71.0,38.0
book_v33_drift3_platt,1.0,1.0,block10,4,33,33,1.0,18,15,-162.0,-195.0
book_v33_drift3_platt,1.0,1.0,block10,5,33,32,0.9696969696969697,21,11,134.0,102.0
book_v33_drift3_platt,1.0,1.0,block10,6,33,33,1.0,20,13,140.0,107.0
book_v33_drift3_platt,1.0,1.0,block10,7,33,33,1.0,18,15,-63.0,-96.0
book_v33_drift3_platt,1.0,1.0,block10,8,33,33,1.0,23,10,467.0,434.0
