policy,model,edge_floor_cents,ask_cap_cents,pside_floor,book_side_floor,cost_cents,all_coverage,all_selected,all_net_after_cost_cents,train_coverage,train_selected,train_net_after_cost_cents,validation_coverage,validation_selected,validation_net_after_cost_cents,holdout_coverage,holdout_selected,holdout_net_after_cost_cents,block10_positive,block10_worst_net_cents
book_time_v32drift85_edge0_ask65_pside0_book0,book_time_v32drift85,0.0,65.0,0.0,0.0,2.0,1.0,330,1042.0,1.0,198,608.0,1.0,66,-83.0,1.0,66,517.0,6,-227.0
book_time_v32drift85_edge0_ask65_pside0_book0.52,book_time_v32drift85,0.0,65.0,0.0,0.52,0.0,0.8757575757575757,289,1853.0,0.8686868686868687,172,891.0,0.8787878787878788,58,339.0,0.8939393939393939,59,623.0,9,-285.0
book_time_v32drift85_edge0_ask65_pside0_book0.52,book_time_v32drift85,0.0,65.0,0.0,0.52,1.0,0.8757575757575757,289,1564.0,0.8686868686868687,172,719.0,0.8787878787878788,58,281.0,0.8939393939393939,59,564.0,8,-311.0
book_time_v32drift85_edge0_ask65_pside0_book0.52,book_time_v32drift85,0.0,65.0,0.0,0.52,2.0,0.8757575757575757,289,1275.0,0.8686868686868687,172,547.0,0.8787878787878788,58,223.0,0.8939393939393939,59,505.0,7,-337.0
book_time_v32drift85_edge0_ask65_pside0_book0.55,book_time_v32drift85,0.0,65.0,0.0,0.55,0.0,0.8454545454545455,279,2156.0,0.8383838383838383,166,1297.0,0.8333333333333334,55,391.0,0.8787878787878788,58,468.0,8,-48.0
book_time_v32drift85_edge0_ask65_pside0_book0.55,book_time_v32drift85,0.0,65.0,0.0,0.55,1.0,0.8454545454545455,279,1877.0,0.8383838383838383,166,1131.0,0.8333333333333334,55,336.0,0.8787878787878788,58,410.0,7,-72.0
book_time_v32drift85_edge0_ask65_pside0_book0.55,book_time_v32drift85,0.0,65.0,0.0,0.55,2.0,0.8454545454545455,279,1598.0,0.8383838383838383,166,965.0,0.8333333333333334,55,281.0,0.8787878787878788,58,352.0,7,-96.0
book_time_v32drift85_edge0_ask65_pside0_book0.6,book_time_v32drift85,0.0,65.0,0.0,0.6,0.0,0.7575757575757576,250,1610.0,0.7727272727272727,153,1004.0,0.7424242424242424,49,136.0,0.7272727272727273,48,470.0,8,-80.0
book_time_v32drift85_edge0_ask65_pside0_book0.6,book_time_v32drift85,0.0,65.0,0.0,0.6,1.0,0.7575757575757576,250,1360.0,0.7727272727272727,153,851.0,0.7424242424242424,49,87.0,0.7272727272727273,48,422.0,8,-107.0
book_time_v32drift85_edge0_ask65_pside0_book0.6,book_time_v32drift85,0.0,65.0,0.0,0.6,2.0,0.7575757575757576,250,1110.0,0.7727272727272727,153,698.0,0.7424242424242424,49,38.0,0.7272727272727273,48,374.0,7,-134.0
book_time_v32drift85_edge0_ask65_pside0_book0.65,book_time_v32drift85,0.0,65.0,0.0,0.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0_book0.65,book_time_v32drift85,0.0,65.0,0.0,0.65,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0_book0.65,book_time_v32drift85,0.0,65.0,0.0,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0.55_book0,book_time_v32drift85,0.0,65.0,0.55,0.0,0.0,0.8666666666666667,286,1931.0,0.8585858585858586,170,969.0,0.8636363636363636,57,360.0,0.8939393939393939,59,602.0,9,-248.0
book_time_v32drift85_edge0_ask65_pside0.55_book0,book_time_v32drift85,0.0,65.0,0.55,0.0,1.0,0.8666666666666667,286,1645.0,0.8585858585858586,170,799.0,0.8636363636363636,57,303.0,0.8939393939393939,59,543.0,8,-273.0
book_time_v32drift85_edge0_ask65_pside0.55_book0,book_time_v32drift85,0.0,65.0,0.55,0.0,2.0,0.8666666666666667,286,1359.0,0.8585858585858586,170,629.0,0.8636363636363636,57,246.0,0.8939393939393939,59,484.0,8,-298.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.52,book_time_v32drift85,0.0,65.0,0.55,0.52,0.0,0.8666666666666667,286,1922.0,0.8585858585858586,170,967.0,0.8636363636363636,57,360.0,0.8939393939393939,59,595.0,9,-250.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.52,book_time_v32drift85,0.0,65.0,0.55,0.52,1.0,0.8666666666666667,286,1636.0,0.8585858585858586,170,797.0,0.8636363636363636,57,303.0,0.8939393939393939,59,536.0,8,-275.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.52,book_time_v32drift85,0.0,65.0,0.55,0.52,2.0,0.8666666666666667,286,1350.0,0.8585858585858586,170,627.0,0.8636363636363636,57,246.0,0.8939393939393939,59,477.0,8,-300.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.55,book_time_v32drift85,0.0,65.0,0.55,0.55,0.0,0.8454545454545455,279,2156.0,0.8383838383838383,166,1297.0,0.8333333333333334,55,391.0,0.8787878787878788,58,468.0,8,-48.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.55,book_time_v32drift85,0.0,65.0,0.55,0.55,1.0,0.8454545454545455,279,1877.0,0.8383838383838383,166,1131.0,0.8333333333333334,55,336.0,0.8787878787878788,58,410.0,7,-72.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.55,book_time_v32drift85,0.0,65.0,0.55,0.55,2.0,0.8454545454545455,279,1598.0,0.8383838383838383,166,965.0,0.8333333333333334,55,281.0,0.8787878787878788,58,352.0,7,-96.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.6,book_time_v32drift85,0.0,65.0,0.55,0.6,0.0,0.7575757575757576,250,1610.0,0.7727272727272727,153,1004.0,0.7424242424242424,49,136.0,0.7272727272727273,48,470.0,8,-80.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.6,book_time_v32drift85,0.0,65.0,0.55,0.6,1.0,0.7575757575757576,250,1360.0,0.7727272727272727,153,851.0,0.7424242424242424,49,87.0,0.7272727272727273,48,422.0,8,-107.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.6,book_time_v32drift85,0.0,65.0,0.55,0.6,2.0,0.7575757575757576,250,1110.0,0.7727272727272727,153,698.0,0.7424242424242424,49,38.0,0.7272727272727273,48,374.0,7,-134.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.65,book_time_v32drift85,0.0,65.0,0.55,0.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.65,book_time_v32drift85,0.0,65.0,0.55,0.65,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0.55_book0.65,book_time_v32drift85,0.0,65.0,0.55,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0.6_book0,book_time_v32drift85,0.0,65.0,0.6,0.0,0.0,0.8151515151515152,269,2213.0,0.8181818181818182,162,1359.0,0.7878787878787878,52,205.0,0.8333333333333334,55,649.0,9,-14.0
book_time_v32drift85_edge0_ask65_pside0.6_book0,book_time_v32drift85,0.0,65.0,0.6,0.0,1.0,0.8151515151515152,269,1944.0,0.8181818181818182,162,1197.0,0.7878787878787878,52,153.0,0.8333333333333334,55,594.0,9,-37.0
book_time_v32drift85_edge0_ask65_pside0.6_book0,book_time_v32drift85,0.0,65.0,0.6,0.0,2.0,0.8151515151515152,269,1675.0,0.8181818181818182,162,1035.0,0.7878787878787878,52,101.0,0.8333333333333334,55,539.0,8,-60.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.52,book_time_v32drift85,0.0,65.0,0.6,0.52,0.0,0.8151515151515152,269,2213.0,0.8181818181818182,162,1359.0,0.7878787878787878,52,205.0,0.8333333333333334,55,649.0,9,-14.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.52,book_time_v32drift85,0.0,65.0,0.6,0.52,1.0,0.8151515151515152,269,1944.0,0.8181818181818182,162,1197.0,0.7878787878787878,52,153.0,0.8333333333333334,55,594.0,9,-37.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.52,book_time_v32drift85,0.0,65.0,0.6,0.52,2.0,0.8151515151515152,269,1675.0,0.8181818181818182,162,1035.0,0.7878787878787878,52,101.0,0.8333333333333334,55,539.0,8,-60.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.55,book_time_v32drift85,0.0,65.0,0.6,0.55,0.0,0.8151515151515152,269,2213.0,0.8181818181818182,162,1359.0,0.7878787878787878,52,205.0,0.8333333333333334,55,649.0,9,-14.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.55,book_time_v32drift85,0.0,65.0,0.6,0.55,1.0,0.8151515151515152,269,1944.0,0.8181818181818182,162,1197.0,0.7878787878787878,52,153.0,0.8333333333333334,55,594.0,9,-37.0
book_time_v32drift85_edge0_ask65_pside0.6_book0.55,book_time_v32drift85,0.0,65.0,0.6,0.55,2.0,0.8151515151515152,269,1675.0,0.8181818181818182,162,1035.0,0.7878787878787878,52,101.0,0.8333333333333334,55,539.0,8,-60.0
