market,ts_wall,side,reason,status,result,side_won,ask_cents,qty,hypothetical_hold_gross_cents,verdict,actionable_shadow,p_side,brier,edge_cents,raw_edge_cents,fair_side_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,recross_hazard_score,btc_age_ms,book_age_ms,eligible_depth,p_ok,edge_ok,model_price_ok,ask_ok,book_ok,btc_ok,risk_ok,h6_recross_hazard_high
KXBTC15M-26MAY070100-00,2026-05-07T05:00:00.038327+00:00,no,missing_horizon,finalized,yes,False,0,1,0,neutral,False,,,,,,0.0,,,,39656.0,2547.0,11193.93,,,,True,False,False,,False
KXBTC15M-26MAY070115-15,2026-05-07T05:00:30.404060+00:00,yes,btc_stale,finalized,yes,True,57,2,86,missed_profit,False,0.524635,0.22597188322500003,-8.53645,-6.53645,52.46355,869.597,106.524912,0.07219,0.9741755539437572,25234.0,0.0,50.65,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:00:30.405060+00:00,no,btc_stale,finalized,yes,False,44,2,-88,protected_loss,False,0.475365,0.22597188322499998,-0.46355,1.53645,47.53645,869.597,106.524912,0.07219,0.9741755539437572,25234.0,0.0,525.26,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:00:35.318057+00:00,yes,p_below_floor,finalized,yes,True,64,2,72,missed_profit,True,0.6207,0.14386849,-5.929972,-3.929972,62.070028,864.683,106.254879,0.297492,0.773494006138249,31.0,922.0,67.07,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:00:35.319055+00:00,no,p_below_floor,finalized,yes,False,37,2,-74,protected_loss,True,0.3793,0.14386849000000002,-3.070028,-1.070028,37.929972,864.683,106.254879,0.297492,0.773494006138249,31.0,922.0,673.0,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:01:36.411300+00:00,yes,book_stale,finalized,yes,True,64,2,72,missed_profit,False,0.624184,0.14123766585600003,-5.581567,-3.581567,62.418433,803.59,102.706573,0.30777,0.7133972531810607,15969.0,1016.0,584.0,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:01:36.411300+00:00,no,book_stale,finalized,yes,False,37,2,-74,protected_loss,False,0.375816,0.14123766585599998,-3.418433,-1.418433,37.581567,803.59,102.706573,0.30777,0.7133972531810607,15969.0,1016.0,127.77,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:03:36.036392+00:00,yes,edge_below_floor,finalized,yes,True,83,2,34,missed_profit,True,0.879855,0.014434821024999987,1.985521,3.985521,87.985521,683.964,94.793,0.944268,0.32142618463429634,16.0,641.0,34.83,True,False,False,True,True,True,True,True
KXBTC15M-26MAY070115-15,2026-05-07T05:10:20.217252+00:00,yes,ask_too_high,finalized,yes,True,94,2,12,missed_profit,True,0.891768,0.011714165823999999,-7.323201,-5.323201,89.176799,279.784,58.919127,0.996111,0.1213223950918299,0.0,813.0,4106.0,True,False,False,False,True,True,True,False
KXBTC15M-26MAY070115-15,2026-05-07T05:13:50.000425+00:00,yes,time_window,finalized,yes,True,100,1,0,neutral,False,0.999992,6.400000000012802e-11,-2.500797,-0.500797,99.999203,70.0,29.447213,6.079013,0.00018810059170270164,15391.0,1610.0,0.0,True,False,False,False,False,False,False,False
KXBTC15M-26MAY070115-15,2026-05-07T05:13:50.002463+00:00,no,time_window,finalized,yes,False,0,2,0,neutral,False,8e-06,6.4e-11,-2.499203,-0.499203,0.000797,70.0,29.447213,6.079013,0.00018810059170270164,15391.0,1610.0,20987.32,False,False,True,True,False,False,True,False
KXBTC15M-26MAY070115-15,2026-05-07T05:15:00.058541+00:00,yes,missing_horizon,finalized,yes,True,100,1,0,neutral,False,,,,,,0.0,,,,85438.0,1657.0,0.0,,,,False,False,False,,False
KXBTC15M-26MAY070115-15,2026-05-07T05:15:00.059971+00:00,no,missing_horizon,finalized,yes,False,0,1,0,neutral,False,,,,,,0.0,,,,85438.0,1657.0,21468.67,,,,True,False,False,,False
KXBTC15M-26MAY070130-30,2026-05-07T05:15:30.064592+00:00,yes,btc_stale,finalized,no,False,51,2,-102,protected_loss,False,0.438451,0.19223927940099997,-11.154883,-9.154883,43.845117,869.936,103.907883,0.110771,0.9144577809056552,115453.0,0.0,207.29,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:15:30.066593+00:00,no,btc_stale,finalized,no,True,50,2,100,missed_profit,False,0.561549,0.19223927940100002,2.154883,4.154883,56.154883,869.936,103.907883,0.110771,0.9144577809056552,115453.0,0.0,697.0,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:17:17.062601+00:00,yes,book_stale,finalized,no,False,58,2,-116,protected_loss,False,0.607072,0.36853641318399993,-1.29277,0.70723,60.70723,762.937,96.839617,0.282529,0.672164174482563,222453.0,1015.0,1105.0,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:17:17.064600+00:00,no,book_stale,finalized,no,True,44,2,112,missed_profit,False,0.392928,0.36853641318400004,-8.70723,-6.70723,39.29277,762.937,96.839617,0.282529,0.672164174482563,222453.0,1015.0,315.14,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:20:14.360179+00:00,yes,p_below_floor,finalized,no,False,42,2,-84,protected_loss,True,0.39586,0.1567051396,-6.413991,-4.413991,39.586009,585.641,84.717352,0.227698,0.5442254783067747,15.0,296.0,1600.24,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:20:14.362177+00:00,no,p_below_floor,finalized,no,True,59,2,82,missed_profit,True,0.60414,0.1567051396,-2.586009,-0.586009,60.413991,585.641,84.717352,0.227698,0.5442254783067747,31.0,296.0,964.42,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:23:44.348757+00:00,no,ask_too_high,finalized,no,True,91,2,18,missed_profit,True,0.685702,0.09878323280399998,-25.429796,-23.429796,68.570204,375.652,67.712161,0.418832,0.28776756758545585,687.0,296.0,114.0,False,False,False,False,True,True,True,True
KXBTC15M-26MAY070130-30,2026-05-07T05:28:50.004897+00:00,yes,time_window,finalized,no,False,19,2,-38,protected_loss,False,0.006958,4.8413763999999995e-05,-21.804227,-19.804227,0.695773,69.996,29.055814,2.352025,0.007712175864679976,89703.0,953.0,777.12,False,False,False,True,True,False,True,False
