model,split,n,brier,logloss,side_accuracy,mean_p_yes,yes_rate
v31_book_logit_blend_w0.60,validation,3818,0.1250212174241858,0.375260336042558,0.8053954950235725,0.5190568446603816,0.5188580408590885
v31_book_logit_blend_w0.60,holdout,3805,0.13872863233731247,0.41467691389949907,0.7939553219448094,0.46997543831664024,0.4323258869908016
v31_book_logit_blend_w0.70,all,19021,0.13529764807786684,0.40587388232999555,0.7935439777088481,0.5076818914883332,0.4958204090216077
v31_book_logit_blend_w0.70,validation,3818,0.12384580835879914,0.3718489187328852,0.8059193294918806,0.5187282525679439,0.5188580408590885
v31_book_logit_blend_w0.70,holdout,3805,0.13801664660177038,0.4127041139262508,0.7936925098554534,0.4692722234644143,0.4323258869908016
v31_book_logit_blend_w0.80,all,19021,0.13443490211300896,0.40328923645736303,0.7933862572945691,0.5077146413231778,0.4958204090216077
v31_book_logit_blend_w0.80,validation,3818,0.1228405730731634,0.3689650562614823,0.8048716605552645,0.5183457067785947,0.5188580408590885
v31_book_logit_blend_w0.80,holdout,3805,0.1374670641180691,0.4112252456409034,0.7936925098554534,0.46861658359995173,0.4323258869908016
v31_book_logit_blend_w1.00,all,19021,0.13334377792976482,0.4001298250689712,0.7941748593659639,0.507785588717733,0.4958204090216077
v31_book_logit_blend_w1.00,validation,3818,0.12134192640136668,0.3648676110361702,0.8038239916186485,0.5173454447354636,0.5188580408590885
v31_book_logit_blend_w1.00,holdout,3805,0.13682437582141682,0.4097166094088441,0.7942181340341655,0.4674559687253614,0.4323258869908016
