variant,source,market,side,reason,p,outcome,brier,raw_v28_p,book_p,v28_minus_book_p,edge_cents,recross_hazard_score,gross_cents
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.75156925,0.0,0.5648563375455624,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.6343795,0.0,0.40243735002025,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
recross_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.7750072,0.0,0.6006361600518401,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.7281312999999999,0.0,0.5301751900396899,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.868759,0.0,0.7547422000809999,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.868759,0.0,0.7547422000809999,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.56406565,0.0,0.31817005750992244,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.5406276999999999,0.0,0.29227831000728993,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
v28_raw,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.861462,1.0,0.019192777444000015,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
book_ask_prior,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.77,1.0,0.05289999999999999,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8385965,1.0,0.02605108981225001,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.815731,1.0,0.03395506436100001,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
recross_shrink,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8111579,1.0,0.03566133873241,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8523158,1.0,0.021810622929640013,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.861462,1.0,0.019192777444000015,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.861462,1.0,0.019192777444000015,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8203041,1.0,0.03229061647681001,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.815731,1.0,0.03395506436100001,0.861462,0.77,0.09146199999999993,5.646183,0.3993723747635055,-10.0
v28_raw,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
book_ask_prior,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8,1.0,0.03999999999999998,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8463275000000001,1.0,0.023615237256249963,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8308850000000001,1.0,0.028599883224999966,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
recross_shrink,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.8277965,1.0,0.029654045412249985,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.855593,1.0,0.020853381648999986,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,0.86177,0.8,0.06176999999999999,2.676999,0.3597654028345304,-2.0
v28_raw,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
book_ask_prior,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.78,1.0,0.04839999999999999,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.8353650000000001,1.0,0.027104683224999957,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.81691,1.0,0.03352194809999999,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
recross_shrink,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.824292,1.0,0.03087330126399999,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.846438,1.0,0.023581287843999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,0.85382,0.78,0.07382,3.882043,0.3496464060083165,-24.0
v28_raw,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
book_ask_prior,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.8,1.0,0.03999999999999998,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.84361625,1.0,0.024455877264062512,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.8290775,1.0,0.029214501006249994,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
recross_shrink,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.834893,1.0,0.027260321449,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.8523395,1.0,0.021803623260249993,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,0.858155,0.8,0.05815499999999996,2.315549,0.28302462076710433,40.0
v28_raw,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
book_ask_prior,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.81,0.0,0.6561000000000001,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.85161075,0.0,0.7252408695155624,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.8377405,0.0,0.70180914534025,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
recross_shrink,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.8432886,0.0,0.7111356628899601,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.8599328999999999,0.0,0.7394845925024098,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,0.865481,0.81,0.05548099999999989,2.048056,0.3479522342160163,24.0
v28_raw,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
book_ask_prior,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.8,0.0,0.6400000000000001,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.849008,0.0,0.720814584064,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.8326720000000001,0.0,0.6933426595840001,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
recross_shrink,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.8522752,0.0,0.72637301653504,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.8588096,0.0,0.7375539290521599,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,0.865344,0.8,0.06534399999999996,3.034397,0.18481237302914516,-92.0
v28_raw,entry,KXBTC15M-26MAY051845-45,no,approved_entry,0.864024,1.0,0.018489472575999998,0.864024,0.79,0.07402399999999998,3.902414,0.4162522477382457,42.0
book_ask_prior,entry,KXBTC15M-26MAY051845-45,no,approved_entry,0.79,1.0,0.044099999999999986,0.864024,0.79,0.07402399999999998,3.902414,0.4162522477382457,42.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051845-45,no,approved_entry,0.845518,1.0,0.023864688324000002,0.864024,0.79,0.07402399999999998,3.902414,0.4162522477382457,42.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051845-45,no,approved_entry,0.8270120000000001,1.0,0.029924848143999972,0.864024,0.79,0.07402399999999998,3.902414,0.4162522477382457,42.0
