dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,6,20,20,1.0,16,4,0.8,141.0,0.09664153529814942,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,7,20,20,1.0,14,6,0.7,45.0,0.033210332103321034,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,8,20,20,1.0,10,10,0.5,-374.0,-0.27219796215429404,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,9,20,20,1.0,17,3,0.85,299.0,0.21341898643825838,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,11,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,0,20,20,1.0,11,9,0.55,-241.0,-0.17971662938105892,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,1,20,20,1.0,13,7,0.65,-62.0,-0.04552129221732746,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,2,20,20,1.0,15,5,0.75,112.0,0.08069164265129683,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,3,20,20,1.0,18,2,0.9,435.0,0.31868131868131866,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,4,20,20,1.0,11,9,0.55,-216.0,-0.1641337386018237,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,5,20,20,1.0,12,8,0.6,-143.0,-0.10647803425167536,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,7,20,19,0.95,14,5,0.7368421052631579,102.0,0.07858243451463791,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,8,20,20,1.0,14,6,0.7,74.0,0.05580693815987934,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,9,20,19,0.95,15,4,0.7894736842105263,207.0,0.16009280742459397,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,10,20,20,1.0,13,7,0.65,-88.0,-0.06340057636887608,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,11,20,20,1.0,13,7,0.65,-76.0,-0.055232558139534885,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,12,20,20,1.0,16,4,0.8,244.0,0.17994100294985252,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,13,20,20,1.0,16,4,0.8,166.0,0.11576011157601115,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,14,20,20,1.0,11,9,0.55,-293.0,-0.21033740129217515,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,0,20,19,0.95,16,3,0.8421052631578947,205.0,0.14695340501792115,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,1,20,20,1.0,12,8,0.6,-224.0,-0.15730337078651685,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,2,20,20,1.0,13,7,0.65,-120.0,-0.08450704225352113,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,3,20,20,1.0,13,7,0.65,-91.0,-0.06542056074766354,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,4,20,20,1.0,13,7,0.65,-121.0,-0.08515130190007038,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,6,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,7,20,20,1.0,15,5,0.75,119.0,0.08616944243301955,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,8,20,20,1.0,10,10,0.5,-362.0,-0.2657856093979442,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.5,11,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,0,20,20,1.0,11,9,0.55,-241.0,-0.17971662938105892,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,1,20,20,1.0,13,7,0.65,-62.0,-0.04552129221732746,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,2,20,20,1.0,15,5,0.75,112.0,0.08069164265129683,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,3,20,20,1.0,18,2,0.9,442.0,0.32547864506627394,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,4,20,20,1.0,11,9,0.55,-226.0,-0.17043740573152338,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,5,20,20,1.0,12,8,0.6,-146.0,-0.10846953937592868,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,7,20,19,0.95,14,5,0.7368421052631579,102.0,0.07858243451463791,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,8,20,20,1.0,14,6,0.7,74.0,0.05580693815987934,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,9,20,19,0.95,15,4,0.7894736842105263,207.0,0.16009280742459397,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,10,20,20,1.0,13,7,0.65,-88.0,-0.06340057636887608,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,11,20,20,1.0,13,7,0.65,-76.0,-0.055232558139534885,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,12,20,20,1.0,16,4,0.8,244.0,0.17994100294985252,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,13,20,20,1.0,16,4,0.8,174.0,0.12201963534361851,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,14,20,20,1.0,10,10,0.5,-421.0,-0.2962702322308234,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,0,20,19,0.95,16,3,0.8421052631578947,205.0,0.14695340501792115,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,1,20,20,1.0,12,8,0.6,-206.0,-0.1465149359886202,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,2,20,20,1.0,13,7,0.65,-120.0,-0.08450704225352113,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,3,20,20,1.0,13,7,0.65,-79.0,-0.05728788977519942,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,4,20,20,1.0,13,7,0.65,-121.0,-0.08515130190007038,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,5,20,20,1.0,14,6,0.7,23.0,0.01670297748729121,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,6,20,20,1.0,17,3,0.85,277.0,0.19465917076598735,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,7,20,20,1.0,15,5,0.75,129.0,0.09409190371991247,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,8,20,20,1.0,10,10,0.5,-366.0,-0.2679355783308931,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over20_sig0.75,11,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,0,20,20,1.0,11,9,0.55,-223.0,-0.16855631141345426,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,1,20,20,1.0,14,6,0.7,37.0,0.02714600146735143,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,2,20,20,1.0,15,5,0.75,112.0,0.08069164265129683,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,3,20,20,1.0,16,4,0.8,246.0,0.18168389955686853,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,4,20,20,1.0,11,9,0.55,-224.0,-0.1691842900302115,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,10,20,20,1.0,12,8,0.6,-174.0,-0.12663755458515283,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,13,20,20,1.0,16,4,0.8,184.0,0.12994350282485875,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over40_sig0.5,14,20,20,1.0,11,9,0.55,-268.0,-0.195906432748538,False,True,0
