rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=4,5,0.07462686567164178,-37.56000000000001,2.8599999999999994,4,1,-18.840000000000007,-14.580000000000002,-4.14,3,0,2,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_sigma_t_dollars>=100,4,0.05970149253731343,-37.70000000000001,2.719999999999999,4,0,-17.66,-14.580000000000002,-5.46,4,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND entry_to_exit_loss_cents<=10,6,0.08955223880597014,-37.78000000000001,2.6400000000000006,5,1,-19.76000000000001,-14.580000000000002,-3.4400000000000004,3,0,3,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=65 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.68 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND entry_to_exit_loss_cents<=10,4,0.05970149253731343,-37.84000000000001,2.5799999999999983,4,0,-19.820000000000004,-14.580000000000002,-3.4400000000000004,1,0,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=100,6,0.08955223880597014,-37.86000000000001,2.5600000000000023,5,1,-17.82,-14.580000000000002,-5.46,6,0,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_sigma_t_dollars>=100,6,0.08955223880597014,-37.940000000000005,2.480000000000004,5,1,-17.900000000000002,-14.580000000000002,-5.46,6,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND fair_minus_exit_bid_cents>=5,14,0.208955223880597,-38.10000000000001,2.3200000000000003,8,6,-18.540000000000006,-14.580000000000002,-4.98,10,0,4,True,True
