dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
current,book_margin_baseline,action,baseline,305,216,89,0.7081967213114754,951.0,3.1180327868852458,64.0,820.467
current,book_margin_baseline,impulse,<=0,37,23,14,0.6216216216216216,-131.0,-3.5405405405405403,62.0,836.368
current,book_margin_baseline,impulse,<=120,21,15,6,0.7142857142857143,61.0,2.9047619047619047,65.0,829.274
current,book_margin_baseline,impulse,<=40,176,130,46,0.7386363636363636,1152.0,6.545454545454546,64.0,780.9745
current,book_margin_baseline,impulse,<=80,56,39,17,0.6964285714285714,75.0,1.3392857142857142,64.0,831.2215
current,book_margin_baseline,impulse,>120,15,9,6,0.6,-206.0,-13.733333333333333,70.0,836.909
current,book_margin_baseline,over_margin,<=-20,20,13,7,0.65,-23.0,-1.15,62.0,849.4639999999999
current,book_margin_baseline,over_margin,<=0,65,52,13,0.8,814.0,12.523076923076923,63.0,796.139
current,book_margin_baseline,over_margin,<=20,134,97,37,0.7238805970149254,594.0,4.432835820895522,64.0,787.538
current,book_margin_baseline,over_margin,<=40,40,27,13,0.675,33.0,0.825,63.5,826.067
current,book_margin_baseline,over_margin,>40,46,27,19,0.5869565217391305,-467.0,-10.152173913043478,64.0,835.5255
v21,book_margin_baseline,split,holdout,44,34,10,0.7727272727272727,293.0,6.659090909090909,67.0,779.378346
v21,book_margin_baseline,split,train,131,90,41,0.6870229007633588,-80.0,-0.6106870229007634,66.0,779.94713
v21,book_margin_baseline,split,validation,44,32,12,0.7272727272727273,212.0,4.818181818181818,64.5,779.7111965
v21,book_margin_baseline,side,no,103,75,28,0.7281553398058253,359.0,3.4854368932038833,65.0,779.717922
v21,book_margin_baseline,side,yes,116,81,35,0.6982758620689655,66.0,0.5689655172413793,66.0,779.9349755000001
v21,book_margin_baseline,hour,0,7,5,2,0.7142857142857143,24.0,3.4285714285714284,65.0,863.351921
v21,book_margin_baseline,hour,1,8,5,3,0.625,-30.0,-3.75,64.0,749.5709664999999
v21,book_margin_baseline,hour,10,10,9,1,0.9,202.0,20.2,66.0,749.2925905
v21,book_margin_baseline,hour,11,12,10,2,0.8333333333333334,164.0,13.666666666666666,65.0,749.566223
v21,book_margin_baseline,hour,12,12,10,2,0.8333333333333334,139.0,11.583333333333334,70.0,779.171325
v21,book_margin_baseline,hour,13,12,7,5,0.5833333333333334,-145.0,-12.083333333333334,67.0,809.496817
v21,book_margin_baseline,hour,14,12,7,5,0.5833333333333334,-127.0,-10.583333333333334,65.5,779.839422
v21,book_margin_baseline,hour,15,12,7,5,0.5833333333333334,-136.0,-11.333333333333334,65.5,779.6619370000001
v21,book_margin_baseline,hour,16,9,7,2,0.7777777777777778,93.0,10.333333333333334,66.0,837.005956
v21,book_margin_baseline,hour,17,8,5,3,0.625,-36.0,-4.5,62.5,839.5617454999999
v21,book_margin_baseline,hour,18,8,6,2,0.75,22.0,2.75,70.0,779.5278185
v21,book_margin_baseline,hour,19,8,6,2,0.75,52.0,6.5,64.0,848.5360880000001
v21,book_margin_baseline,hour,2,8,5,3,0.625,-61.0,-7.625,67.0,749.5889729999999
v21,book_margin_baseline,hour,20,8,4,4,0.5,-156.0,-19.5,66.0,839.4021195
v21,book_margin_baseline,hour,21,8,7,1,0.875,142.0,17.75,66.5,839.318395
v21,book_margin_baseline,hour,22,8,7,1,0.875,115.0,14.375,68.5,719.635165
v21,book_margin_baseline,hour,23,8,8,0,1.0,269.0,33.625,62.0,809.8797155
v21,book_margin_baseline,hour,3,8,2,6,0.25,-334.0,-41.75,64.5,839.1454200000001
v21,book_margin_baseline,hour,4,10,6,4,0.6,-117.0,-11.7,67.5,719.2701115
v21,book_margin_baseline,hour,5,12,10,2,0.8333333333333334,170.0,14.166666666666666,67.0,779.8485579999999
