dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.028, 0.826]",512,-0.0004527178145007915,-0.0010655366948966183,0.18350301568698607,0.5469373223123559,0.7421875,0.5019805465562377,0.55078125
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.826, 1.0]",331,-0.018771482736788025,-0.05590720103043767,0.21091984000495487,0.6370188917865033,0.7069486404833837,0.539225750502816,0.5287009063444109
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(-0.000665, 0.000339]",376,-4.0078077136056905e-05,-0.00022488025966814484,0.027186814063470368,0.08855797677964122,0.9654255319148937,0.44194102784443556,0.4148936170212766
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000339, 0.00037]",390,-0.0002067821749965476,-0.0009817765916677046,0.08354609577355573,0.26091287937639307,0.8743589743589744,0.4352359629949679,0.3871794871794872
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.00037, 0.000494]",359,-0.0001527881379201207,0.0005123595798905423,0.11460523258470207,0.371254606460657,0.8607242339832869,0.46034286311032224,0.46518105849582175
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000494, 0.000925]",380,-1.3473219701576333e-06,0.0007358170430908917,0.1466188523327395,0.45794355660885516,0.7657894736842106,0.5040360158035063,0.4763157894736842
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000925, 0.0031]",406,-0.00012294433761245172,-9.759789180652234e-05,0.14650536512299434,0.44445266540285316,0.7980295566502463,0.4606167616921322,0.43842364532019706
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.0031, 0.028]",462,-0.00019516866102065045,-0.0007439899261350025,0.16741247626430172,0.4948455708713019,0.7510822510822511,0.45930124824435486,0.36363636363636365
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.028, 0.826]",509,-3.1476865857693603e-06,0.00012262854692646208,0.1979314378860864,0.570660004310259,0.6581532416502947,0.4823019484004252,0.35363457760314343
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.826, 1.0]",923,-0.0002311548916502093,-0.001616229306449779,0.19732825703090806,0.5684879714317428,0.6706392199349945,0.5066026374279144,0.5027085590465872
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(-0.0009665, 3.39e-05]",2378,-6.731429628721586e-05,0.00036725178043395257,0.04422687200545783,0.1684960938107261,0.9373423044575273,0.492420759005105,0.48317914213624896
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(0.00031, 0.0028]",2378,3.029250873806677e-05,0.00033701326291823985,0.19465196882759492,0.5681661072504791,0.6925988225399495,0.5090661572387499,0.4907485281749369
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0028, 0.0826]",2377,-2.3878953066908126e-05,9.68655762544346e-05,0.1882328380605626,0.5533145395620289,0.7118216238956668,0.5097695464737063,0.492637778712663
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0826, 0.1]",2378,-0.002509505033123277,-0.008596660755553653,0.19464657449233308,0.5718004650264589,0.6947014297729184,0.5254302065775293,0.5365853658536586
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(3.39e-05, 3.7e-05]",2378,-0.0001922129079172108,-0.0006185555479068516,0.08219190905580448,0.26658497674556164,0.8826745164003365,0.4958009701801657,0.4693019343986543
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(3.7e-05, 4.94e-05]",2377,-0.00011048278660968913,3.928072336212285e-05,0.12567774573569132,0.3923429389996529,0.8195204038704249,0.500848873311039,0.5056794278502313
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(4.94e-05, 9.25e-05]",2378,-5.8499814108436965e-06,4.216622353397925e-05,0.15915970375393237,0.47412558342898264,0.7539949537426409,0.5118766630674026,0.4945332211942809
all_heartbeats,all,v34_material_antipersist3_anti_persistence_logit_weight,"(9.25e-05, 0.00031]",2377,2.0529618350195733e-05,0.0002891455617732852,0.17917648174442466,0.5278732019293051,0.7185527976440892,0.5083034407839406,0.4938998737904922
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(-0.0009665, 3.39e-05]",492,-7.545249366331178e-05,-0.0005191709685678642,0.026875711488634407,0.08376263729438449,0.959349593495935,0.49906627797261266,0.49796747967479676
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(0.00031, 0.0028]",497,0.00019644983763450474,0.00016784403246850044,0.18552970758410184,0.5288834025041145,0.7062374245472837,0.5258927962207242,0.5855130784708249
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0028, 0.0826]",512,-0.0004527178145007915,-0.0010655366948966183,0.18350301568698607,0.5469373223123559,0.7421875,0.5019805465562377,0.55078125
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0826, 0.1]",331,-0.018771482736788025,-0.05590720103043767,0.21091984000495487,0.6370188917865033,0.7069486404833837,0.539225750502816,0.5287009063444109
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(3.39e-05, 3.7e-05]",560,-0.00012683537821978064,-0.0010760935676048244,0.06207089097979104,0.1945766181751158,0.8821428571428571,0.4746259977120746,0.4714285714285714
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(3.7e-05, 4.94e-05]",512,-0.00024027521464728419,-0.0003711381789964774,0.08924237017810727,0.3003150976488674,0.865234375,0.5125971846292947,0.455078125
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(4.94e-05, 9.25e-05]",436,8.657657334595892e-05,0.0005697496729947793,0.15965396443124952,0.47585056701722805,0.7568807339449541,0.5690389027621988,0.5619266055045872
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_logit_weight,"(9.25e-05, 0.00031]",478,0.00033264271954128177,0.0012993289834808408,0.19596751838353307,0.5638535449711449,0.6610878661087866,0.554912122066865,0.5146443514644351
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(-0.0009665, 3.39e-05]",376,-4.0078077136056905e-05,-0.00022488025966814484,0.027186814063470368,0.08855797677964122,0.9654255319148937,0.44194102784443556,0.4148936170212766
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(0.00031, 0.0028]",462,-0.00019516866102065045,-0.0007439899261350025,0.16741247626430172,0.4948455708713019,0.7510822510822511,0.45930124824435486,0.36363636363636365
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0028, 0.0826]",509,-3.1476865857693603e-06,0.00012262854692646208,0.1979314378860864,0.570660004310259,0.6581532416502947,0.4823019484004252,0.35363457760314343
