mode,split,model,family,blend_start_seconds,blend_end_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_minute_bucket,validation,v36_s180_e450_t100,v36_piecewise,180,450,1.0,1964,982,0.13749536597145423,0.4100431361975034,0.011179696603088566,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e450_t100,v36_piecewise,180,450,1.0,1956,978,0.15046543596611942,0.4462539765309521,0.011630806059094334,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e450_t102,v36_piecewise,180,450,1.02,9796,4898,0.14897910078380674,0.44404964527805346,0.014616536160288914,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e450_t102,v36_piecewise,180,450,1.02,5876,2938,0.15231678575628707,0.454743051075634,0.020342374761229198,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s180_e450_t102,v36_piecewise,180,450,1.02,1964,982,0.13746373667754655,0.4098701136454312,0.006134187640189013,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e450_t102,v36_piecewise,180,450,1.02,1956,978,0.15051485651305038,0.44624501729231025,0.012293212714434431,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e450_t104,v36_piecewise,180,450,1.04,9796,4898,0.14904644686918617,0.4441358732008093,0.016389021676458657,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e450_t104,v36_piecewise,180,450,1.04,5876,2938,0.15241539129731124,0.4549059668336572,0.02187248200907356,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s180_e450_t104,v36_piecewise,180,450,1.04,1964,982,0.13744527818747748,0.4097674769265676,0.007517027525791857,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e450_t104,v36_piecewise,180,450,1.04,1956,978,0.1505744518953687,0.4462905051517277,0.015007942683193236,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e600_t100,v36_piecewise,180,600,1.0,9796,4898,0.14895242879545897,0.44406110304134044,0.014831225642611539,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e600_t100,v36_piecewise,180,600,1.0,5876,2938,0.1522413416480078,0.4546216131434159,0.01942974834261162,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s180_e600_t100,v36_piecewise,180,600,1.0,1964,982,0.13752007834000068,0.4100876161438028,0.011440124672936449,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e600_t100,v36_piecewise,180,600,1.0,1956,978,0.15055134718653423,0.4464488182289521,0.011238356753007207,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e600_t102,v36_piecewise,180,600,1.02,9796,4898,0.1490124909930224,0.444106462275917,0.014989919519192166,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e600_t102,v36_piecewise,180,600,1.02,5876,2938,0.1523335511420459,0.4547481864737418,0.020841181984451555,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s180_e600_t102,v36_piecewise,180,600,1.02,1964,982,0.13749169619570636,0.4099320924192244,0.006764103297551719,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e600_t102,v36_piecewise,180,600,1.02,1956,978,0.15060364209029592,0.4464519075786397,0.01272349990274987,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e600_t104,v36_piecewise,180,600,1.04,9796,4898,0.14908320261883473,0.44420869543405017,0.01718316737816767,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e600_t104,v36_piecewise,180,600,1.04,5876,2938,0.15243576162397665,0.4549283080180845,0.022643369548794205,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s180_e600_t104,v36_piecewise,180,600,1.04,1964,982,0.13747645438028094,0.4098463324405531,0.0074120764372736505,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s180_e600_t104,v36_piecewise,180,600,1.04,1956,978,0.15066603330713013,0.44650891904112683,0.01499086623177051,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e600_t100,v36_piecewise,300,600,1.0,9796,4898,0.14898021517334545,0.44413100129604155,0.014895720461681895,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e600_t100,v36_piecewise,300,600,1.0,5876,2938,0.15226197818886436,0.4546832083239503,0.019208993452982402,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e600_t100,v36_piecewise,300,600,1.0,1964,982,0.13754957482698343,0.41020467863387894,0.011712689710933075,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e600_t100,v36_piecewise,300,600,1.0,1956,978,0.15059889521479022,0.44649630252942374,0.011431897847710341,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e600_t102,v36_piecewise,300,600,1.02,9796,4898,0.1490430259022153,0.44418873334702474,0.015345360570507881,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e600_t102,v36_piecewise,300,600,1.02,5876,2938,0.15235708811464146,0.45482237115592944,0.0212718582355315,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e600_t102,v36_piecewise,300,600,1.02,1964,982,0.13752410246114652,0.41006204681060615,0.0076713629950969225,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e600_t102,v36_piecewise,300,600,1.02,1956,978,0.1506533204206421,0.44651059254559455,0.013124363231351945,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e600_t104,v36_piecewise,300,600,1.04,9796,4898,0.14911644434222526,0.4443028259593257,0.01729526163029732,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e600_t104,v36_piecewise,300,600,1.04,5876,2938,0.1524621571478069,0.45501453967384814,0.02240448400666931,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e600_t104,v36_piecewise,300,600,1.04,1964,982,0.1375117371698055,0.4099887183409432,0.007511025449844792,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e600_t104,v36_piecewise,300,600,1.04,1956,978,0.15071779221596493,0.4465783257425409,0.01523787947720735,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e900_t100,v36_piecewise,300,900,1.0,9796,4898,0.14896917079082486,0.4440326341089387,0.01454347512873461,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e900_t100,v36_piecewise,300,900,1.0,5876,2938,0.1522649669099982,0.4546287894468417,0.020016482142227416,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e900_t100,v36_piecewise,300,900,1.0,1964,982,0.1375111806035167,0.4100559730955365,0.011074999942232265,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e900_t100,v36_piecewise,300,900,1.0,1956,978,0.15057315582743563,0.44631645489871585,0.012337133775532829,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e900_t102,v36_piecewise,300,900,1.02,9796,4898,0.1490364561758267,0.444110138731369,0.016301319003332475,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e900_t102,v36_piecewise,300,900,1.02,5876,2938,0.1523645386061579,0.45478660581412766,0.021573688937742846,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e900_t102,v36_piecewise,300,900,1.02,1964,982,0.1374909799967906,0.40993713958529704,0.008675391722528639,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e900_t102,v36_piecewise,300,900,1.02,1956,978,0.15063129403625664,0.4463498369648021,0.013480624072455157,744,0.7607361963190185
two_side_minute_bucket,all,v36_s300_e900_t104,v36_piecewise,300,900,1.04,9796,4898,0.14911423629146414,0.4442430492480904,0.01739955999726367,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s300_e900_t104,v36_piecewise,300,900,1.04,5876,2938,0.1524739487192385,0.4549964930653462,0.02318927766609673,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s300_e900_t104,v36_piecewise,300,900,1.04,1964,982,0.13748378143415396,0.4098865340717476,0.007169965553412532,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s300_e900_t104,v36_piecewise,300,900,1.04,1956,978,0.15069938103285216,0.446435769051844,0.015694660129702,744,0.7607361963190185
