threshold_cents,max_entry_ask_cents,window,exit_gate,entries,wins,losses,win_rate,wrong_side,exits,settlement_losses,net_pnl_cents,avg_pnl_cents,max_drawdown_cents,remove_best_market_net_cents,market_lcb_cents,worst_trade_cents,best_trade_cents
90.000000,99.900000,1_to_15_min,v28_fair_lt_75,63,53,8,0.841270,5,3,7,-17.100000,-0.271429,177.000000,-26.100000,-5.865149,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,bid_lt_entry_minus_10,63,54,7,0.857143,5,2,7,-31.000000,-0.492063,179.000000,-40.000000,-6.118123,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,edge_lt_0,63,47,13,0.746032,5,13,7,-105.900000,-1.680952,215.200000,-114.900000,-7.235185,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,63,52,9,0.825397,5,4,7,-42.100000,-0.668254,179.000000,-51.100000,-6.274363,-92.000000,9.000000
90.000000,99.900000,5_to_15_min,hold,38,36,2,0.947368,2,0,2,131.000000,3.447368,96.000000,122.000000,-2.557450,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,fair_lt_70,38,36,2,0.947368,2,0,2,131.000000,3.447368,96.000000,122.000000,-2.557450,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,fair_lt_75,38,35,3,0.921053,2,1,2,121.300000,3.192105,96.000000,112.300000,-2.810147,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,fair_lt_80,38,34,4,0.894737,2,2,2,108.300000,2.850000,96.000000,99.300000,-3.162688,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,v28_fair_lt_75,38,35,3,0.921053,2,1,2,121.300000,3.192105,96.000000,112.300000,-2.810147,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,bid_lt_entry_minus_10,38,35,3,0.921053,2,1,2,106.000000,2.789474,96.000000,97.000000,-3.275716,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,edge_lt_0,38,30,7,0.789474,2,10,2,50.500000,1.328947,96.000000,41.500000,-4.650022,-91.000000,9.000000
90.000000,99.900000,5_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,38,34,4,0.894737,2,2,2,96.300000,2.534211,96.000000,87.300000,-3.526425,-91.000000,9.000000
90.000000,99.900000,last_5_min,hold,58,44,5,0.758621,5,0,14,-182.000000,-3.137931,299.000000,-191.000000,-9.070464,-92.000000,9.000000
90.000000,99.900000,last_5_min,fair_lt_70,58,43,6,0.741379,5,1,14,-195.000000,-3.362069,299.000000,-204.000000,-9.284343,-92.000000,9.000000
90.000000,99.900000,last_5_min,fair_lt_75,58,41,8,0.706897,5,3,14,-214.200000,-3.693103,299.000000,-223.200000,-9.597474,-92.000000,9.000000
90.000000,99.900000,last_5_min,fair_lt_80,58,40,9,0.689655,5,4,14,-232.200000,-4.003448,299.000000,-241.200000,-9.898267,-92.000000,9.000000
90.000000,99.900000,last_5_min,v28_fair_lt_75,58,41,8,0.706897,5,3,14,-214.200000,-3.693103,299.000000,-223.200000,-9.597474,-92.000000,9.000000
90.000000,99.900000,last_5_min,bid_lt_entry_minus_10,58,43,6,0.741379,5,1,14,-204.000000,-3.517241,299.000000,-213.000000,-9.445768,-92.000000,9.000000
90.000000,99.900000,last_5_min,edge_lt_0,58,37,13,0.637931,5,9,12,-255.200000,-4.400000,317.600000,-264.200000,-10.275239,-92.000000,9.000000
90.000000,99.900000,last_5_min,fair_lt_75_or_bid_lt_entry_minus_10,58,41,8,0.706897,5,3,14,-214.200000,-3.693103,299.000000,-223.200000,-9.597474,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,hold,64,57,5,0.890625,5,0,7,17.000000,0.265625,177.000000,8.000000,-5.253654,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,fair_lt_70,64,56,6,0.875000,5,1,7,4.000000,0.062500,177.000000,-5.000000,-5.453108,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,fair_lt_75,64,54,8,0.843750,5,3,7,-16.100000,-0.251563,177.000000,-25.100000,-5.757284,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,fair_lt_80,64,52,10,0.812500,5,5,7,-47.100000,-0.735938,180.000000,-56.100000,-6.239016,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,v28_fair_lt_75,64,54,8,0.843750,5,3,7,-16.100000,-0.251563,177.000000,-25.100000,-5.757284,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,bid_lt_entry_minus_10,64,55,7,0.859375,5,2,7,-30.000000,-0.468750,179.000000,-39.000000,-6.006337,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,edge_lt_0,64,48,13,0.750000,5,13,7,-104.900000,-1.639063,215.200000,-113.900000,-7.106253,-92.000000,9.000000
90.000000,99.900000,all_recorded_preclose,fair_lt_75_or_bid_lt_entry_minus_10,64,53,9,0.828125,5,4,7,-41.100000,-0.642188,179.000000,-50.100000,-6.160172,-92.000000,9.000000
