source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,ask_prob,v28_minus_ask_prob,disagreement_bucket,book_brier,v28_brier,v28_brier_minus_book_brier
rejected_actionable,KXBTC15M-26MAY070600-00,yes,p_below_floor,0.591225,1.0,0.167097000625,50_60,True,-8.877516,64,739.991,98.623231,0.7591949273414819,True,72.0,0.64,-0.04877500000000001,slightly_below_book,0.1296,0.167097000625,0.037497000625
rejected_actionable,KXBTC15M-26MAY070600-00,yes,ask_too_high,0.938625,1.0,0.0037668906249999946,90_95,True,-1.137477,92,183.411,49.200906,0.06108916495060307,False,16.0,0.92,0.018625000000000003,near_book,0.006399999999999993,0.0037668906249999946,-0.0026331093749999987
rejected_actionable,KXBTC15M-26MAY070615-15,no,p_below_floor,0.610872,1.0,0.15142060038400001,60_70,True,29.587162,28,702.26,96.230672,0.6454912835956723,True,144.0,0.28,0.33087199999999994,v28_plus_15,0.5184,0.15142060038400001,-0.36697939961599996
rejected_actionable,KXBTC15M-26MAY070615-15,no,ask_too_high,0.421004,1.0,0.3352363680160001,00_50,True,-59.399578,99,141.613,42.650271,0.14260026007287832,False,2.0,0.99,-0.5689960000000001,v28_below_book,0.00010000000000000018,0.3352363680160001,0.3351363680160001
rejected_actionable,KXBTC15M-26MAY070615-15,yes,p_below_floor,0.389128,0.0,0.151420600384,00_50,True,-42.587162,78,702.26,96.230672,0.6454912835956723,True,-156.0,0.78,-0.39087200000000005,v28_below_book,0.6084,0.151420600384,-0.4569793996160001
rejected_actionable,KXBTC15M-26MAY070630-30,no,p_below_floor,0.393026,1.0,0.368417436676,00_50,True,-18.697411,54,875.963,105.517869,0.8264694476309769,True,92.0,0.54,-0.14697400000000005,v28_below_book,0.21159999999999995,0.368417436676,0.15681743667600007
rejected_actionable,KXBTC15M-26MAY070630-30,no,ask_too_high,0.475724,1.0,0.27486532417599996,00_50,True,-50.927592,96,298.183,59.804296,0.33553823198536753,True,8.0,0.96,-0.484276,v28_below_book,0.001600000000000003,0.27486532417599996,0.27326532417599997
rejected_actionable,KXBTC15M-26MAY070630-30,yes,p_below_floor,0.606974,0.0,0.368417436676,60_70,True,9.697411,47,875.963,105.517869,0.8264694476309769,True,-94.0,0.47,0.13697400000000004,v28_plus_08_15,0.22089999999999999,0.368417436676,0.14751743667600004
entry,KXBTC15M-26MAY070645-45,yes,approved_entry,0.895399,1.0,0.010941369201000011,85_90,True,5.039895,81,816.468,106.686678,0.36879792565874936,True,38.0,0.81,0.08539899999999989,v28_plus_08_15,0.03609999999999998,0.010941369201000011,-0.025158630798999968
rejected_actionable,KXBTC15M-26MAY070645-45,no,p_below_floor,0.473952,0.0,0.22463049830399998,00_50,True,27.395155,17,821.611,106.878169,1.0166953698037628,True,-34.0,0.17,0.303952,v28_plus_15,0.028900000000000006,0.22463049830399998,0.19573049830399997
rejected_actionable,KXBTC15M-26MAY070645-45,yes,p_below_floor,0.526048,1.0,0.22463049830400003,50_60,True,-34.395155,84,821.611,106.878169,1.0166953698037628,True,32.0,0.84,-0.313952,v28_below_book,0.02560000000000001,0.22463049830400003,0.19903049830400002
rejected_actionable,KXBTC15M-26MAY070645-45,yes,ask_too_high,0.911424,1.0,0.007845707775999997,90_95,True,-3.857563,92,678.334,98.182971,0.2833631799459714,True,16.0,0.92,-0.008576000000000028,slightly_below_book,0.006399999999999993,0.007845707775999997,0.001445707776000004
rejected_actionable,KXBTC15M-26MAY070700-00,no,p_below_floor,0.345188,1.0,0.42877875534399995,00_50,True,-15.481241,46,869.636,112.583013,0.7601242607081649,True,108.0,0.46,-0.11481200000000003,v28_below_book,0.2916,0.42877875534399995,0.13717875534399993
rejected_actionable,KXBTC15M-26MAY070700-00,yes,p_below_floor,0.654812,0.0,0.42877875534399995,60_70,True,5.481241,56,869.636,112.583013,0.7601242607081649,True,-112.0,0.56,0.0948119999999999,v28_plus_08_15,0.31360000000000005,0.42877875534399995,0.1151787553439999
