dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,7,20,19,0.95,15,4,0.7894736842105263,168.0,0.12612612612612611,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,8,20,20,1.0,13,7,0.65,-40.0,-0.029850746268656716,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,9,20,19,0.95,15,4,0.7894736842105263,185.0,0.14068441064638784,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,10,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,11,20,20,1.0,13,7,0.65,-85.0,-0.061371841155234655,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,12,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,13,20,20,1.0,16,4,0.8,165.0,0.11498257839721254,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,14,20,20,1.0,12,8,0.6,-196.0,-0.14040114613180515,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec300_fade100,15,13,13,1.0,10,3,0.7692307692307693,92.0,0.1013215859030837,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,0,20,19,0.95,16,3,0.8421052631578947,184.0,0.12994350282485875,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,1,20,20,1.0,12,8,0.6,-183.0,-0.13232104121475055,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,2,20,20,1.0,12,8,0.6,-251.0,-0.1729841488628532,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,3,20,20,1.0,14,6,0.7,-26.0,-0.0182328190743338,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,4,20,20,1.0,14,6,0.7,11.0,0.007919366450683946,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,5,20,20,1.0,14,6,0.7,8.0,0.005747126436781609,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,6,20,20,1.0,18,2,0.9,372.0,0.2605042016806723,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,8,20,20,1.0,11,9,0.55,-282.0,-0.2040520984081042,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,9,20,20,1.0,16,4,0.8,190.0,0.1347517730496454,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,10,20,19,0.95,14,5,0.7368421052631579,17.0,0.012292118582791034,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec300_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,0,20,20,1.0,11,9,0.55,-251.0,-0.1857883049592894,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,1,20,20,1.0,14,6,0.7,22.0,0.015965166908563134,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,2,20,19,0.95,14,5,0.7368421052631579,92.0,0.07033639143730887,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,3,20,20,1.0,18,2,0.9,421.0,0.3052936910804931,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,5,20,20,1.0,15,5,0.75,153.0,0.11358574610244988,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,6,20,20,1.0,16,4,0.8,184.0,0.12994350282485875,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,7,20,19,0.95,15,4,0.7894736842105263,168.0,0.12612612612612611,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,8,20,20,1.0,13,7,0.65,-40.0,-0.029850746268656716,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,9,20,19,0.95,15,4,0.7894736842105263,185.0,0.14068441064638784,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,10,20,20,1.0,12,8,0.6,-171.0,-0.12472647702407003,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,11,20,20,1.0,13,7,0.65,-85.0,-0.061371841155234655,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,12,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,13,20,20,1.0,16,4,0.8,165.0,0.11498257839721254,True,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,14,20,20,1.0,12,8,0.6,-191.0,-0.13731128684399713,False,True,0
current,veto_signed_move_15m_le50_score0.7_sec600_fade100,15,13,13,1.0,10,3,0.7692307692307693,92.0,0.1013215859030837,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,0,20,19,0.95,16,3,0.8421052631578947,184.0,0.12994350282485875,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,1,20,20,1.0,12,8,0.6,-183.0,-0.13232104121475055,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,2,20,20,1.0,12,8,0.6,-231.0,-0.16142557651991615,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,3,20,20,1.0,13,7,0.65,-129.0,-0.09027291812456263,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,4,20,20,1.0,14,6,0.7,11.0,0.007919366450683946,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,5,20,20,1.0,14,6,0.7,8.0,0.005747126436781609,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,6,20,20,1.0,18,2,0.9,372.0,0.2605042016806723,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,8,20,20,1.0,12,8,0.6,-165.0,-0.12087912087912088,False,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,9,20,20,1.0,16,4,0.8,190.0,0.1347517730496454,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,10,20,19,0.95,14,5,0.7368421052631579,25.0,0.01818181818181818,True,True,0
v21,veto_signed_move_15m_le50_score0.7_sec600_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,0,20,20,1.0,10,10,0.5,-355.0,-0.26199261992619927,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,1,20,20,1.0,14,6,0.7,12.0,0.008645533141210375,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,2,20,19,0.95,14,5,0.7368421052631579,91.0,0.06951871657754011,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,3,20,20,1.0,18,2,0.9,412.0,0.2968299711815562,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,5,20,20,1.0,15,5,0.75,153.0,0.11358574610244988,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,6,20,20,1.0,16,4,0.8,193.0,0.13717128642501777,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,7,20,19,0.95,15,4,0.7894736842105263,179.0,0.13550340651021953,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,8,20,20,1.0,13,7,0.65,-52.0,-0.038461538461538464,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,9,20,19,0.95,15,4,0.7894736842105263,180.0,0.13636363636363635,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,10,20,20,1.0,12,8,0.6,-186.0,-0.1341991341991342,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,11,20,20,1.0,12,8,0.6,-195.0,-0.13978494623655913,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,12,20,20,1.0,15,5,0.75,120.0,0.08695652173913043,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,13,20,20,1.0,17,3,0.85,263.0,0.18302018093249825,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,14,20,20,1.0,12,8,0.6,-200.0,-0.14285714285714285,False,True,0
