dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec600_else_score_min60,hour,2,12,8,4,0.6666666666666666,-52.0,-4.333333333333333,69.0
current,hazard45_sec600_else_score_min60,hour,20,10,8,2,0.8,98.0,9.8,69.0
current,hazard45_sec600_else_score_min60,hour,21,10,8,2,0.8,33.0,3.3,73.5
current,hazard45_sec600_else_score_min60,hour,22,12,10,2,0.8333333333333334,141.0,11.75,69.5
current,hazard45_sec600_else_score_min60,hour,23,10,9,1,0.9,185.0,18.5,68.5
current,hazard45_sec600_else_score_min60,hour,3,11,6,5,0.5454545454545454,-187.0,-17.0,69.0
current,hazard45_sec600_else_score_min60,hour,4,12,10,2,0.8333333333333334,166.0,13.833333333333334,68.5
current,hazard45_sec600_else_score_min60,hour,5,14,10,4,0.7142857142857143,26.0,1.8571428571428572,67.5
current,hazard45_sec600_else_score_min60,hour,6,13,13,0,1.0,388.0,29.846153846153847,67.0
current,hazard45_sec600_else_score_min60,hour,7,9,7,2,0.7777777777777778,84.0,9.333333333333334,66.0
current,hazard45_sec600_else_score_min60,hour,8,8,3,5,0.375,-267.0,-33.375,69.0
current,hazard45_sec600_else_score_min60,hour,9,9,4,5,0.4444444444444444,-247.0,-27.444444444444443,70.0
current,hazard45_sec600_else_score_min60,ask,ask<=60,15,9,6,0.6,11.0,0.7333333333333333,58.0
current,hazard45_sec600_else_score_min60,ask,ask<=70,130,90,40,0.6923076923076923,97.0,0.7461538461538462,67.0
current,hazard45_sec600_else_score_min60,ask,ask<=80,90,76,14,0.8444444444444444,709.0,7.877777777777778,74.0
current,hazard45_sec600_else_score_min60,ask,ask<=95,6,6,0,1.0,85.0,14.166666666666666,84.0
current,hazard45_sec600_else_score_min60,time,sec<=900,241,181,60,0.7510373443983402,902.0,3.7427385892116183,69.0
current,hazard50_sec60_else_logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,26,22,4,0.8461538461538461,339.0,13.038461538461538,66.5
current,hazard50_sec60_else_logit_thresh55_edge15,selector,hazard_primary_0.5,266,207,59,0.7781954887218046,906.0,3.406015037593985,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,split,holdout,59,45,14,0.7627118644067796,94.0,1.5932203389830508,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,split,train,175,138,37,0.7885714285714286,892.0,5.097142857142857,72.0
current,hazard50_sec60_else_logit_thresh55_edge15,split,validation,58,46,12,0.7931034482758621,259.0,4.4655172413793105,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,side,no,147,115,32,0.782312925170068,651.0,4.428571428571429,72.0
current,hazard50_sec60_else_logit_thresh55_edge15,side,yes,145,114,31,0.7862068965517242,594.0,4.096551724137931,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,0,9,7,2,0.7777777777777778,23.0,2.5555555555555554,72.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,1,8,7,1,0.875,65.0,8.125,77.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,10,12,11,1,0.9166666666666666,197.0,16.416666666666668,74.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,11,12,9,3,0.75,8.0,0.6666666666666666,72.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,12,12,11,1,0.9166666666666666,191.0,15.916666666666666,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,13,12,8,4,0.6666666666666666,-106.0,-8.833333333333334,72.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,14,11,8,3,0.7272727272727273,-29.0,-2.6363636363636362,74.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,15,11,8,3,0.7272727272727273,-21.0,-1.9090909090909092,74.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,16,8,6,2,0.75,-14.0,-1.75,75.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,17,12,10,2,0.8333333333333334,146.0,12.166666666666666,69.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,18,12,9,3,0.75,25.0,2.0833333333333335,73.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,19,12,11,1,0.9166666666666666,239.0,19.916666666666668,69.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,2,14,9,5,0.6428571428571429,-132.0,-9.428571428571429,72.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,20,12,9,3,0.75,61.0,5.083333333333333,68.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,21,12,10,2,0.8333333333333334,71.0,5.916666666666667,74.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,22,12,11,1,0.9166666666666666,200.0,16.666666666666668,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,23,12,10,2,0.8333333333333334,119.0,9.916666666666666,70.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,3,16,12,4,0.75,24.0,1.5,71.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,4,16,13,3,0.8125,126.0,7.875,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,5,16,12,4,0.75,20.0,1.25,71.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,6,15,14,1,0.9333333333333333,273.0,18.2,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,7,12,10,2,0.8333333333333334,115.0,9.583333333333334,72.5
current,hazard50_sec60_else_logit_thresh55_edge15,hour,8,12,6,6,0.5,-275.0,-22.916666666666668,71.0
current,hazard50_sec60_else_logit_thresh55_edge15,hour,9,12,8,4,0.6666666666666666,-81.0,-6.75,71.0
current,hazard50_sec60_else_logit_thresh55_edge15,ask,ask<=60,7,4,3,0.5714285714285714,-11.0,-1.5714285714285714,57.0
current,hazard50_sec60_else_logit_thresh55_edge15,ask,ask<=70,107,82,25,0.7663551401869159,793.0,7.411214953271028,68.0
current,hazard50_sec60_else_logit_thresh55_edge15,ask,ask<=80,173,138,35,0.7976878612716763,404.0,2.3352601156069364,75.0
current,hazard50_sec60_else_logit_thresh55_edge15,ask,ask<=95,5,5,0,1.0,59.0,11.8,86.0
current,hazard50_sec60_else_logit_thresh55_edge15,time,sec<=300,13,11,2,0.8461538461538461,140.0,10.76923076923077,73.0
current,hazard50_sec60_else_logit_thresh55_edge15,time,sec<=600,75,59,16,0.7866666666666666,268.0,3.5733333333333333,74.0
current,hazard50_sec60_else_logit_thresh55_edge15,time,sec<=900,204,159,45,0.7794117647058824,837.0,4.102941176470588,72.0
current,hazard50_sec60_else_score_min60,selector,fallback_score_min60,26,21,5,0.8076923076923077,224.0,8.615384615384615,66.0
current,hazard50_sec60_else_score_min60,selector,hazard_primary_0.5,266,207,59,0.7781954887218046,906.0,3.406015037593985,73.0
current,hazard50_sec60_else_score_min60,split,holdout,59,45,14,0.7627118644067796,92.0,1.5593220338983051,73.0
current,hazard50_sec60_else_score_min60,split,train,175,137,38,0.7828571428571428,779.0,4.451428571428571,72.0
current,hazard50_sec60_else_score_min60,split,validation,58,46,12,0.7931034482758621,259.0,4.4655172413793105,73.0
current,hazard50_sec60_else_score_min60,side,no,146,114,32,0.7808219178082192,615.0,4.212328767123288,72.0
current,hazard50_sec60_else_score_min60,side,yes,146,114,32,0.7808219178082192,515.0,3.5273972602739727,73.0
current,hazard50_sec60_else_score_min60,hour,0,9,7,2,0.7777777777777778,23.0,2.5555555555555554,72.0
current,hazard50_sec60_else_score_min60,hour,1,8,7,1,0.875,65.0,8.125,77.5
current,hazard50_sec60_else_score_min60,hour,10,12,11,1,0.9166666666666666,182.0,15.166666666666666,75.0
