dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_raw_brier,all_cal_brier,all_raw_logloss,all_cal_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_raw_brier,train_cal_brier,train_raw_logloss,train_cal_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_raw_brier,validation_cal_brier,validation_raw_logloss,validation_cal_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_raw_brier,holdout_cal_brier,holdout_raw_logloss,holdout_cal_logloss,oos_positive,oos_coverage_pass
current,book,10.0,307,0,0,0,,,0.0,0.0,,,,,,,184,0,0,0,,,0.0,0.0,,,,,,,61,0,0,0,,,0.0,0.0,,,,,,,62,0,0,0,,,0.0,0.0,,,,,,,False,False
v21,book,-50.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-40.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-30.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-20.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-15.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-10.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,60.0,0.004601226993865031,56.0,0.23311860730593606,0.23361014896921212,0.6578950132587362,0.6589926976336593,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,249.0,0.0939268200678989,55.0,0.22991590909090912,0.2250889783510569,0.6512033247169284,0.6416706202249682,True,True
v21,book,-5.0,221,219,131,88,0.5981735159817352,0.532088986492067,0.9909502262443439,64.0,0.00490948143602332,56.0,0.23319452054794518,0.23367406228103868,0.6581046465980243,0.659161200696848,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-316.0,-0.040429887410440124,56.0,0.23310152671755727,0.23620316018483975,0.657548061120604,0.6639555736233065,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2363721590909091,0.23441121801356699,0.6656196729390743,0.6615389397095363,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,253.0,0.09557990177559501,55.0,0.23029375,0.2254070923349209,0.652246727019294,0.6425093059258397,True,True
v21,book,0.0,221,196,108,88,0.5510204081632653,0.4810718698664744,0.8868778280542986,-269.0,-0.024302104977866112,54.0,0.2442684948979592,0.24562353928636943,0.6816065983112914,0.6842803881459142,132,116,60,56,0.5172413793103449,0.42722138408093696,0.8787878787878788,-554.0,-0.08452853219407995,55.0,0.24635172413793105,0.2505417954626498,0.6857916428601596,0.6942043418258298,44,41,26,15,0.6341463414634146,0.48120701087912016,0.9318181818181818,281.0,0.12117291936179388,54.0,0.23572256097560979,0.23111498064173389,0.664408496953346,0.6549178236615342,45,39,22,17,0.5641025641025641,0.40975691648669477,0.8666666666666667,4.0,0.0018214936247723133,54.0,0.24705641025641023,0.24624746718333163,0.6872388287730107,0.6856313244789747,True,True
v21,book,2.0,221,93,45,48,0.4838709677419355,0.3849770248295384,0.42081447963800905,-476.0,-0.09565916398713827,52.0,0.24974973118279567,0.25462453793681106,0.6926462911054622,0.7024435241237477,132,58,27,31,0.46551724137931033,0.34332022325286254,0.4393939393939394,-402.0,-0.12959381044487428,51.0,0.2501215517241379,0.25671359630950136,0.6933901070910323,0.7066400583177025,44,16,6,10,0.375,0.18481232558863636,0.36363636363636365,-256.0,-0.29906542056074764,51.5,0.25137499999999996,0.2666768647875959,0.6958973664591535,0.726648400261463,45,19,12,7,0.631578947368421,0.41039533164803066,0.4222222222222222,182.0,0.1787819253438114,52.0,0.24724605263157892,0.23809808450372758,0.6876379472727183,0.6692499977314939,False,False
