dataset,policy,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,score_min60,entry_hour_utc,5,12,10,2,0.8333333333333334,160.0,13.333333333333334,67.5
current,score_min60,entry_hour_utc,6,12,11,1,0.9166666666666666,271.0,22.583333333333332,66.5
current,score_min60,entry_hour_utc,7,12,10,2,0.8333333333333334,164.0,13.666666666666666,65.5
current,score_min60,entry_hour_utc,8,12,5,7,0.4166666666666667,-348.0,-29.0,69.0
current,score_min60,entry_hour_utc,9,12,7,5,0.5833333333333334,-169.0,-14.083333333333334,69.0
current,score_min60,ask_bucket,ask<=65,87,62,25,0.7126436781609196,557.0,6.402298850574713,63.0
current,score_min60,ask_bucket,ask<=75,142,110,32,0.7746478873239436,780.0,5.492957746478873,69.0
current,score_min60,ask_bucket,ask<=85,45,36,9,0.8,-55.0,-1.2222222222222223,79.0
current,score_min60,ask_bucket,ask<=95,4,4,0,1.0,36.0,9.0,90.0
current,score_min60,time_bucket,sec<=300,4,3,1,0.75,-10.0,-2.5,74.0
current,score_min60,time_bucket,sec<=600,47,35,12,0.7446808510638298,66.0,1.4042553191489362,71.0
current,score_min60,time_bucket,sec<=900,227,174,53,0.7665198237885462,1262.0,5.559471365638767,68.0
current,score_min60_gap020,split,holdout,57,42,15,0.7368421052631579,25.0,0.43859649122807015,69.0
current,score_min60_gap020,split,train,164,123,41,0.75,712.0,4.341463414634147,68.0
current,score_min60_gap020,split,validation,55,47,8,0.8545454545454545,748.0,13.6,69.0
current,score_min60_gap020,side,no,136,103,33,0.7573529411764706,571.0,4.198529411764706,69.0
current,score_min60_gap020,side,yes,140,109,31,0.7785714285714286,914.0,6.5285714285714285,68.0
current,score_min60_gap020,entry_hour_utc,0,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,69.0
current,score_min60_gap020,entry_hour_utc,1,8,7,1,0.875,115.0,14.375,68.5
current,score_min60_gap020,entry_hour_utc,10,12,11,1,0.9166666666666666,233.0,19.416666666666668,69.0
current,score_min60_gap020,entry_hour_utc,11,12,9,3,0.75,21.0,1.75,70.5
current,score_min60_gap020,entry_hour_utc,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,score_min60_gap020,entry_hour_utc,13,12,8,4,0.6666666666666666,-67.0,-5.583333333333333,66.5
current,score_min60_gap020,entry_hour_utc,14,10,8,2,0.8,92.0,9.2,67.0
current,score_min60_gap020,entry_hour_utc,15,11,8,3,0.7272727272727273,18.0,1.6363636363636365,68.0
current,score_min60_gap020,entry_hour_utc,16,7,5,2,0.7142857142857143,15.0,2.142857142857143,67.0
current,score_min60_gap020,entry_hour_utc,17,12,8,4,0.6666666666666666,-50.0,-4.166666666666667,69.0
current,score_min60_gap020,entry_hour_utc,18,12,10,2,0.8333333333333334,117.0,9.75,72.5
current,score_min60_gap020,entry_hour_utc,19,12,11,1,0.9166666666666666,246.0,20.5,68.5
current,score_min60_gap020,entry_hour_utc,2,14,9,5,0.6428571428571429,-84.0,-6.0,67.5
current,score_min60_gap020,entry_hour_utc,20,12,10,2,0.8333333333333334,151.0,12.583333333333334,69.0
current,score_min60_gap020,entry_hour_utc,21,12,10,2,0.8333333333333334,102.0,8.5,73.0
current,score_min60_gap020,entry_hour_utc,22,12,9,3,0.75,45.0,3.75,67.5
current,score_min60_gap020,entry_hour_utc,23,12,11,1,0.9166666666666666,280.0,23.333333333333332,64.5
current,score_min60_gap020,entry_hour_utc,3,13,8,5,0.6153846153846154,-146.0,-11.23076923076923,71.0
current,score_min60_gap020,entry_hour_utc,4,12,10,2,0.8333333333333334,127.0,10.583333333333334,72.0
current,score_min60_gap020,entry_hour_utc,5,12,10,2,0.8333333333333334,160.0,13.333333333333334,67.5
current,score_min60_gap020,entry_hour_utc,6,12,11,1,0.9166666666666666,271.0,22.583333333333332,66.5
