dataset,policy,block,markets,wins,losses,net_pnl_cents
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age900,13,20,16,4,25.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age900,14,20,14,6,-69.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age900,15,20,11,9,-352.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age900,16,6,4,2,-74.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,1,20,10,10,-414.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,2,20,14,6,-234.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,3,20,14,6,-275.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,4,20,18,2,122.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,5,20,12,8,-327.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,6,20,13,7,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,7,20,15,5,-192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,8,20,13,7,-314.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,9,20,16,4,-62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,10,20,16,4,-8.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,11,20,15,5,-175.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,12,20,11,9,-431.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,13,20,16,4,10.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,14,20,14,6,-156.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,15,20,16,4,-21.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age180,16,6,2,4,-280.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,1,20,8,12,-469.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,2,20,12,8,-314.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,3,20,10,10,-557.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,4,20,16,4,46.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,5,20,8,12,-609.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,6,20,10,10,-443.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,7,20,11,9,-455.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,8,20,15,5,-46.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,9,20,14,6,-194.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,10,20,15,5,-32.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,11,20,12,8,-390.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,12,20,9,11,-497.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,13,20,14,6,-137.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,14,20,12,8,-290.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,15,20,14,6,-111.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age300,16,6,2,4,-224.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,1,20,7,13,-535.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,2,20,12,8,-242.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,3,20,9,11,-578.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,4,20,14,6,-82.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,5,20,3,17,-946.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,6,20,7,13,-603.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,7,20,9,11,-606.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,8,20,14,6,-58.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,9,20,10,10,-483.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,10,20,15,5,-32.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,11,20,9,11,-601.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,12,20,8,12,-572.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,13,20,13,7,-209.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,14,20,12,8,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,15,20,10,10,-389.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age600,16,6,2,4,-224.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,1,20,7,13,-535.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,2,20,12,8,-242.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,3,20,10,10,-453.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,4,20,14,6,-82.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,5,20,3,17,-946.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,6,20,7,13,-603.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,7,20,9,11,-606.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,8,20,13,7,-118.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,9,20,10,10,-483.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,10,20,15,5,-32.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,11,20,9,11,-601.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,12,20,8,12,-572.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,13,20,13,7,-209.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,14,20,12,8,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,15,20,10,10,-389.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask60_age900,16,6,2,4,-224.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,1,20,8,12,-596.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,2,20,14,6,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,3,20,14,6,-275.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,4,20,18,2,122.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,5,20,11,9,-429.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,6,20,13,7,-258.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,7,20,15,5,-202.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,8,20,13,7,-314.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,9,20,16,4,-62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,10,20,17,3,99.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,11,20,15,5,-128.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,12,20,11,9,-440.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,13,20,15,5,-90.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,14,20,14,6,-156.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,15,20,15,5,-110.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age180,16,6,2,4,-280.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,1,20,7,13,-582.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,2,20,12,8,-321.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,3,20,11,9,-436.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,4,20,15,5,-24.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,5,20,8,12,-638.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,6,20,10,10,-460.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,7,20,11,9,-465.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,8,20,15,5,-46.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,9,20,12,8,-358.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,10,20,15,5,-49.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,11,20,13,7,-270.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,12,20,8,12,-584.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,13,20,12,8,-324.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,14,20,12,8,-290.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,15,20,13,7,-200.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age300,16,6,2,4,-227.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,1,20,6,14,-648.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,2,20,12,8,-249.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,3,20,10,10,-457.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,4,20,14,6,-86.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,5,20,3,17,-988.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,6,20,7,13,-625.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,7,20,9,11,-616.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,8,20,14,6,-73.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,9,20,8,12,-650.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,10,20,13,7,-208.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,11,20,10,10,-481.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,12,20,8,12,-584.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,13,20,11,9,-396.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,14,20,12,8,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,15,20,10,10,-416.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age600,16,6,2,4,-227.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,1,20,6,14,-648.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,2,20,12,8,-249.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,3,20,11,9,-332.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,4,20,14,6,-86.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,5,20,3,17,-988.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,6,20,7,13,-625.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,7,20,9,11,-616.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,8,20,13,7,-133.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,9,20,8,12,-650.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,10,20,13,7,-208.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,11,20,10,10,-481.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,12,20,8,12,-584.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,13,20,11,9,-396.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,14,20,12,8,-241.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,15,20,10,10,-416.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.45_ask70_age900,16,6,2,4,-227.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,1,20,15,5,-127.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,2,20,16,4,-83.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,3,20,15,5,-216.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,4,20,19,1,192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,5,20,16,4,-119.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,6,20,19,1,166.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,7,20,16,4,-119.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,8,20,16,4,-100.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,9,20,18,2,91.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,10,20,19,1,197.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,11,20,16,4,-97.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,12,20,17,3,13.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,13,20,18,2,161.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,14,20,17,3,3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,15,20,17,3,-11.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age180,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,1,20,12,8,-335.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,2,20,16,4,-83.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,3,20,14,6,-287.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,4,20,17,3,62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,5,20,15,5,-192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,6,20,19,1,166.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,7,20,14,6,-257.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,8,20,16,4,-26.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,9,20,18,2,91.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,10,20,18,2,128.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,11,20,16,4,-97.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,12,20,14,6,-191.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,13,20,18,2,161.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,14,20,17,3,3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,15,20,16,4,-82.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,1,20,11,9,-401.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,2,20,16,4,-83.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,3,20,13,7,-350.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,4,20,17,3,62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,5,20,14,6,-260.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,6,20,19,1,166.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,7,20,14,6,-257.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,8,20,16,4,-26.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,9,20,17,3,20.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,10,20,18,2,128.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,11,20,15,5,-163.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,12,20,14,6,-191.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,13,20,18,2,161.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,14,20,17,3,3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,15,20,16,4,-82.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,1,20,9,11,-542.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,2,20,16,4,-83.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,3,20,13,7,-350.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,4,20,17,3,62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,5,20,13,7,-330.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,6,20,19,1,166.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,7,20,14,6,-257.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,8,20,15,5,-86.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,9,20,17,3,20.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,10,20,18,2,128.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,11,20,15,5,-163.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,12,20,14,6,-191.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,13,20,18,2,161.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,14,20,17,3,3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,15,20,16,4,-82.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,1,20,14,6,-154.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,2,20,15,5,-164.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,3,20,15,5,-216.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,4,20,19,1,192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,5,20,16,4,-119.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,6,20,19,1,166.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,7,20,15,5,-192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,8,20,16,4,-100.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,9,20,16,4,-64.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,10,20,19,1,197.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,11,20,16,4,-97.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,12,20,14,6,-212.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,13,20,17,3,87.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,14,20,16,4,-63.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,15,20,17,3,38.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,1,20,11,9,-304.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,2,20,13,7,-308.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,3,20,14,6,-287.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,4,20,17,3,62.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,5,20,12,8,-413.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,6,20,16,4,-49.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,7,20,13,7,-330.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,8,20,16,4,-26.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,9,20,15,5,-135.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,10,20,19,1,252.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,11,20,15,5,-170.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,12,20,12,8,-348.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,13,20,16,4,10.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,14,20,15,5,-137.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,15,20,17,3,90.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,1,20,9,11,-448.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,2,20,13,7,-308.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,3,20,13,7,-357.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,4,20,16,4,-3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,5,20,9,11,-627.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,6,20,13,7,-266.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,7,20,11,9,-471.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,8,20,14,6,-173.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,9,20,14,6,-208.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,10,20,19,1,252.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,11,20,12,8,-399.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,12,20,11,9,-421.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,13,20,15,5,-64.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,14,20,16,4,-11.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,15,20,14,6,-133.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age600,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,1,20,9,11,-448.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,2,20,13,7,-308.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,3,20,13,7,-357.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,4,20,16,4,-3.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,5,20,8,12,-697.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,6,20,13,7,-266.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,7,20,11,9,-471.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,8,20,13,7,-233.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,9,20,14,6,-208.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,10,20,19,1,252.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,11,20,12,8,-399.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,12,20,11,9,-421.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,13,20,15,5,-64.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,14,20,16,4,-11.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,15,20,14,6,-133.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age900,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,1,20,11,9,-405.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,2,20,15,5,-168.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,3,20,15,5,-216.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,4,20,19,1,192.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,5,20,15,5,-153.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,6,20,17,3,18.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,7,20,15,5,-202.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,8,20,16,4,-100.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,9,20,16,4,-64.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,10,20,19,1,234.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,11,20,15,5,-171.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,12,20,13,7,-303.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,13,20,16,4,-18.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,14,20,15,5,-143.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,15,20,16,4,-51.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,1,20,8,12,-573.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,2,20,13,7,-312.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,3,20,13,7,-365.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,4,20,15,5,-85.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,5,20,11,9,-449.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,6,20,14,6,-197.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,7,20,13,7,-340.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,8,20,16,4,-26.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,9,20,14,6,-218.0
current,p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age300,10,20,18,2,165.0
