model,min_edge_cents,cost_cents,split,resolved_markets,selected_markets,coverage,gross_net_cents,cost_total_cents,net_after_cost_cents,roi_after_cost
book_time_v32drift85,1.0,0.0,all,330,329,0.996969696969697,1370.0,0.0,1370.0,0.07087428867046043
book_time_v32drift85,1.0,0.0,train,198,197,0.9949494949494949,516.0,0.0,516.0,0.04378818737270876
book_time_v32drift85,1.0,0.0,validation,66,66,1.0,353.0,0.0,353.0,0.09175981284117495
book_time_v32drift85,1.0,0.0,holdout,66,66,1.0,501.0,0.0,501.0,0.1354420113544201
book_time_v32drift85,1.0,0.5,all,330,329,0.996969696969697,1370.0,164.5,1205.5,0.0618379542948011
book_time_v32drift85,1.0,0.5,train,198,197,0.9949494949494949,516.0,98.5,417.5,0.0351357037660425
book_time_v32drift85,1.0,0.5,validation,66,66,1.0,353.0,33.0,320.0,0.08247422680412371
book_time_v32drift85,1.0,0.5,holdout,66,66,1.0,501.0,33.0,468.0,0.12540192926045016
book_time_v32drift85,1.0,1.0,all,330,329,0.996969696969697,1370.0,329.0,1041.0,0.0529528460247215
book_time_v32drift85,1.0,1.0,train,198,197,0.9949494949494949,516.0,197.0,319.0,0.02662549035973625
book_time_v32drift85,1.0,1.0,validation,66,66,1.0,353.0,66.0,287.0,0.07334525939177101
book_time_v32drift85,1.0,1.0,holdout,66,66,1.0,501.0,66.0,435.0,0.11553784860557768
book_time_v32drift85,1.0,1.5,all,330,329,0.996969696969697,1370.0,493.5,876.5,0.044215199132342925
book_time_v32drift85,1.0,1.5,train,198,197,0.9949494949494949,516.0,295.5,220.5,0.01825406680740097
book_time_v32drift85,1.0,1.5,validation,66,66,1.0,353.0,99.0,254.0,0.06436898124683224
book_time_v32drift85,1.0,1.5,holdout,66,66,1.0,501.0,99.0,402.0,0.10584518167456557
book_time_v32drift85,1.0,2.0,all,330,329,0.996969696969697,1370.0,658.0,712.0,0.035621372823694215
book_time_v32drift85,1.0,2.0,train,198,197,0.9949494949494949,516.0,394.0,122.0,0.010018065363770734
book_time_v32drift85,1.0,2.0,validation,66,66,1.0,353.0,132.0,221.0,0.055541593365167126
book_time_v32drift85,1.0,2.0,holdout,66,66,1.0,501.0,132.0,369.0,0.09631949882537197
book_time_v32drift85,1.0,3.0,all,330,329,0.996969696969697,1370.0,987.0,383.0,0.01885120834768913
book_time_v32drift85,1.0,3.0,train,198,197,0.9949494949494949,516.0,591.0,-75.0,-0.006060606060606061
book_time_v32drift85,1.0,3.0,validation,66,66,1.0,353.0,198.0,155.0,0.038318912237330034
book_time_v32drift85,1.0,3.0,holdout,66,66,1.0,501.0,198.0,303.0,0.07775211701308699
book_time_v32drift85,2.0,0.0,all,330,285,0.8636363636363636,788.0,0.0,788.0,0.045517560073937154
book_time_v32drift85,2.0,0.0,train,198,167,0.8434343434343434,496.0,0.0,496.0,0.048608388867110934
book_time_v32drift85,2.0,0.0,validation,66,56,0.8484848484848485,277.0,0.0,277.0,0.08092316681273737
book_time_v32drift85,2.0,0.0,holdout,66,62,0.9393939393939394,15.0,0.0,15.0,0.004070556309362279
book_time_v32drift85,2.0,0.5,all,330,285,0.8636363636363636,788.0,142.5,645.5,0.03698186714027901
book_time_v32drift85,2.0,0.5,train,198,167,0.8434343434343434,496.0,83.5,412.5,0.040097205346294046
book_time_v32drift85,2.0,0.5,validation,66,56,0.8484848484848485,277.0,28.0,249.0,0.07215299913068676
book_time_v32drift85,2.0,0.5,holdout,66,62,0.9393939393939394,15.0,31.0,-16.0,-0.004305705059203444
book_time_v32drift85,2.0,1.0,all,330,285,0.8636363636363636,788.0,285.0,503.0,0.02858441779848838
book_time_v32drift85,2.0,1.0,train,198,167,0.8434343434343434,496.0,167.0,329.0,0.031723073956224083
book_time_v32drift85,2.0,1.0,validation,66,56,0.8484848484848485,277.0,56.0,221.0,0.06352400114975568
book_time_v32drift85,2.0,1.0,holdout,66,62,0.9393939393939394,15.0,62.0,-47.0,-0.012543368027755538
book_time_v32drift85,2.0,1.5,all,330,285,0.8636363636363636,788.0,427.5,360.5,0.02032188054905719
book_time_v32drift85,2.0,1.5,train,198,167,0.8434343434343434,496.0,250.5,245.5,0.02348271079439476
book_time_v32drift85,2.0,1.5,validation,66,56,0.8484848484848485,277.0,84.0,193.0,0.05503279155973767
book_time_v32drift85,2.0,1.5,holdout,66,62,0.9393939393939394,15.0,93.0,-78.0,-0.020645844362096346
book_time_v32drift85,2.0,2.0,all,330,285,0.8636363636363636,788.0,570.0,218.0,0.01219103008612012
book_time_v32drift85,2.0,2.0,train,198,167,0.8434343434343434,496.0,334.0,162.0,0.015372936040994496
book_time_v32drift85,2.0,2.0,validation,66,56,0.8484848484848485,277.0,112.0,165.0,0.04667609618104668
book_time_v32drift85,2.0,2.0,holdout,66,62,0.9393939393939394,15.0,124.0,-109.0,-0.028616434759779468
book_time_v32drift85,2.0,3.0,all,330,285,0.8636363636363636,788.0,855.0,-67.0,-0.0036880057246656025
book_time_v32drift85,2.0,3.0,train,198,167,0.8434343434343434,496.0,501.0,-5.0,-0.00046707146193367583
book_time_v32drift85,2.0,3.0,validation,66,56,0.8484848484848485,277.0,168.0,109.0,0.0303536619326093
book_time_v32drift85,2.0,3.0,holdout,66,62,0.9393939393939394,15.0,186.0,-171.0,-0.04417463187806768
