model,threshold_cents,train_markets,train_trades,train_coverage,train_cost_dollars,train_pnl_dollars,train_roi,train_wins,train_losses,train_avg_edge_cents,train_avg_ask_cents,validation_markets,validation_trades,validation_coverage,validation_cost_dollars,validation_pnl_dollars,validation_roi,validation_wins,validation_losses,validation_avg_edge_cents,validation_avg_ask_cents,holdout_markets,holdout_trades,holdout_coverage,holdout_cost_dollars,holdout_pnl_dollars,holdout_roi,holdout_wins,holdout_losses,holdout_avg_edge_cents,holdout_avg_ask_cents,all_markets,all_trades,all_coverage,all_cost_dollars,all_pnl_dollars,all_roi,all_wins,all_losses,all_avg_edge_cents,all_avg_ask_cents,train_eligible_80,all_splits_eligible_80,all_splits_positive_pnl,min_split_pnl_dollars,mean_split_roi
v38_long60_antipersist,0.0,198,198,1.0,180.04,-8.04,-0.044656742946012,86,112,7.168522089853877,45.464646464646464,66,66,1.0,60.3,13.7,0.22719734660033167,37,29,7.99170455097401,45.68181818181818,66,66,1.0,57.38,-1.38,-0.024050191704426627,28,38,8.077963422250853,43.46969696969697,330,330,1.0,297.72,4.28,0.014375923686685476,151,179,7.515046848557298,45.10909090909091,True,True,False,-8.04,0.05283013731663102
v38_long60_antipersist,0.25,198,197,0.9949494949494949,179.2,-5.2,-0.029017857142857147,87,110,7.378591041729098,45.48223350253807,66,66,1.0,60.1,13.9,0.23128119800332778,37,29,8.046274220083154,45.53030303030303,66,66,1.0,56.42,1.58,0.028004253810705423,29,37,8.292620756218193,42.74242424242424,330,329,0.996969696969697,295.72,10.28,0.03476261328283511,153,176,7.695895147892162,44.94224924012158,True,True,False,-5.2,0.07675586489039202
v38_long60_antipersist,0.5,198,197,0.9949494949494949,178.98,-6.98,-0.038998770812381275,86,111,7.40934937735463,45.4263959390863,66,66,1.0,59.9,16.1,0.26878130217028384,38,28,8.243519871682675,45.378787878787875,66,66,1.0,56.42,1.58,0.028004253810705423,29,37,8.292620756218193,42.74242424242424,330,329,0.996969696969697,295.3,10.7,0.036234337961395184,153,176,7.753881789605834,44.878419452887535,True,True,False,-6.98,0.08592892838953599
v38_long60_antipersist,0.75,198,197,0.9949494949494949,178.1,-4.1,-0.023020774845592364,87,110,7.501752300959998,45.203045685279186,66,66,1.0,59.78,12.22,0.20441619270659084,36,30,8.328100289558877,45.28787878787879,66,66,1.0,56.36,3.64,0.0645848119233499,30,36,8.43913776947293,42.696969696969695,330,329,0.996969696969697,294.24,11.76,0.0399673735725938,153,176,7.855571170775742,44.71732522796353,True,True,False,-4.1,0.08199340992811611
v38_long60_antipersist,1.0,198,197,0.9949494949494949,177.12,-9.12,-0.05149051490514905,84,113,7.637909827299908,44.954314720812185,66,66,1.0,59.48,12.52,0.2104909213180901,36,30,8.49708998820812,45.06060606060606,66,66,1.0,55.54,2.46,0.044292401872524305,29,37,8.696059452358728,42.07575757575758,330,329,0.996969696969697,292.14,5.86,0.020058875881426717,149,180,8.022541334515179,44.39817629179331,True,True,False,-9.12,0.06776426942848846
v38_long60_antipersist,1.25,198,197,0.9949494949494949,178.28,-12.28,-0.06888041283374467,83,114,7.710875073484847,45.24873096446701,66,66,1.0,59.48,12.52,0.2104909213180901,36,30,8.50337671699632,45.06060606060606,66,66,1.0,55.06,0.94,0.017072284780239737,28,38,8.813524241551514,41.71212121212121,330,329,0.996969696969697,292.82,1.18,0.004029779386653917,147,182,8.091057303163137,44.5015197568389,True,True,False,-12.28,0.052894264421528385
v38_long60_antipersist,1.5,198,197,0.9949494949494949,177.72,-13.72,-0.07720009002925951,82,115,7.78812163977659,45.10659898477157,66,66,1.0,58.54,11.46,0.19576358045780665,35,31,8.634466085674465,44.34848484848485,66,66,1.0,54.8,1.2,0.021897810218978103,28,38,9.071687523678213,41.515151515151516,330,329,0.996969696969697,291.06,-1.06,-0.0036418607847179276,145,184,8.215398484052479,44.234042553191486,True,True,False,-13.72,0.04682043354917508
v38_long60_antipersist,1.75,198,197,0.9949494949494949,178.12,-10.12,-0.05681562991241859,84,113,7.938846949617398,45.20812182741117,66,66,1.0,58.76,13.24,0.22532334921715455,36,30,8.821808916040828,44.515151515151516,66,66,1.0,54.56,1.44,0.026392961876832842,28,38,9.173446259940523,41.333333333333336,330,329,0.996969696969697,291.44,4.56,0.01564644523744167,148,181,8.363646476259564,44.29179331306991,True,True,False,-10.12,0.0649668937271896
v38_long60_antipersist,2.0,198,196,0.98989898989899,175.62,-11.62,-0.06616558478533197,82,114,8.11796060644108,44.80102040816327,66,66,1.0,58.02,9.98,0.17200965184419165,34,32,8.91725302917102,43.95454545454545,66,66,1.0,54.68,1.32,0.024140453547915143,28,38,9.372175040601375,41.42424242424242,330,328,0.9939393939393939,288.32,-0.32,-0.0011098779134295228,144,184,8.53116625447387,43.951219512195124,True,True,False,-11.62,0.0433281735355916
v38_long60_antipersist,2.25,198,196,0.98989898989899,175.36,-9.36,-0.053375912408759114,83,113,8.13401387081788,44.734693877551024,66,66,1.0,57.56,8.44,0.14662960389159138,33,33,9.268619831666754,43.60606060606061,66,66,1.0,53.88,0.12,0.0022271714922048997,27,39,9.60465987156156,40.81818181818182,330,328,0.9939393939393939,286.8,-0.8,-0.002789400278940028,143,185,8.658241399674917,43.71951219512195,True,True,False,-9.36,0.03182695432501239
