candidate_id,split,slice,rows,markets,avg_pred,win_rate,brier,logloss,ece_10bin,side_accuracy,calibration_intercept,calibration_slope,shadow_trades,shadow_coverage,shadow_net_pnl_cents,shadow_expected_ev_cents
v28s_logistic_calibration_v001,all,near_boundary_abs_d_lte_1,1054,104,0.5083757513671987,0.38140417457305503,0.19147351620581948,0.5736014397376097,0.19250363405945212,0.8178368121442126,-0.7338543316012334,2.531031415443728,8,0.007590132827324478,396.0,111.55824812588992
v28s_logistic_calibration_v001,all,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28s_logistic_calibration_v001,all,prior_recross_seen,188,20,0.5855109119830325,0.6063829787234043,0.14562281571955618,0.47290500002107827,0.19544951227349008,0.8723404255319149,-0.4543987179832891,2.9294960797208582,3,0.015957446808510637,102.0,17.754124616165512
v28s_logistic_calibration_v001,all,adverse_memory_gt_1sigma,184,19,0.5784751807984229,0.5652173913043478,0.15419806765915658,0.490670152567129,0.19285540593797176,0.8478260869565217,-0.5826444523444815,2.6620161826041757,4,0.021739130434782608,136.0,23.67216615488735
v28s_logistic_calibration_v001,all,late_lte_180s,88,15,0.5546615558280813,0.5,0.14417040001062012,0.47112544181164806,0.24832808566664255,0.9090909090909091,-0.8537363056028626,3.6546025190560782,4,0.045454545454545456,272.0,115.17701311382268
v28s_logistic_calibration_v001,all,fresh_feed_lte_1000ms,1494,113,0.5078136502949407,0.42570281124497994,0.17481059784136635,0.5366806380863817,0.18601044320982518,0.8340026773761714,-0.47145806342332175,2.425320655623775,28,0.018741633199464525,-428.0,232.8497077709532
v28s_logistic_calibration_v001,all,stale_feed_gt_1000ms,251,52,0.6047058589851215,0.6414342629482072,0.17084472330406894,0.5247386101349428,0.140192261254056,0.796812749003984,-0.15334267469655502,1.9388948067096263,4,0.01593625498007968,-260.0,28.613148923593883
v28s_logistic_calibration_v001,all,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28s_logistic_calibration_v001,all,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28s_logistic_calibration_v001,train,all_rows,938,70,0.5469083155650171,0.5469083155650319,0.17363900561730197,0.5327322310921999,0.17354482040849392,0.8176972281449894,-0.15427608647208746,2.1860308246745657,20,0.021321961620469083,-288.0,220.26551188178516
