feature,bucket,split,model,rows,mean_pred,realized,error,abs_error,brier,logloss
signed_velocity_dps_1m,"(0.0, 0.0812]",all,v28_live_surface,4370,0.5243599451761952,0.5389016018306636,-0.014541656654468382,0.014541656654468382,0.15385769755191206,0.45820720011232957
signed_velocity_dps_1m,"(0.0, 0.0812]",all,v28_avg90,4370,0.5255901501400213,0.5389016018306636,-0.013311451690642295,0.013311451690642295,0.15233162900633498,0.45290792998944607
signed_velocity_dps_1m,"(0.0, 0.0812]",all,v31_avg90_final60_exact,4370,0.5256632076943692,0.5389016018306636,-0.013238394136294351,0.013238394136294351,0.15263569596163828,0.45395753354429214
signed_velocity_dps_1m,"(0.0812, 0.206]",all,v28_live_surface,4753,0.5386446867513358,0.5457605722701452,-0.007115885518809373,0.007115885518809373,0.14338276134873493,0.43095116113076104
signed_velocity_dps_1m,"(0.0812, 0.206]",all,v28_avg90,4753,0.5405149368110183,0.5457605722701452,-0.005245635459126929,0.005245635459126929,0.1417582132626123,0.4246117298983777
signed_velocity_dps_1m,"(0.0812, 0.206]",all,v31_avg90_final60_exact,4753,0.540601263280848,0.5457605722701452,-0.005159308989297173,0.005159308989297173,0.1414187757934608,0.42459433199366103
signed_velocity_dps_1m,"(0.206, 0.456]",all,v28_live_surface,4753,0.5716623673746699,0.5802650957290133,-0.008602728354343392,0.008602728354343392,0.15096742672589705,0.45063522107839915
signed_velocity_dps_1m,"(0.206, 0.456]",all,v28_avg90,4753,0.5742782588360086,0.5802650957290133,-0.005986836893004721,0.005986836893004721,0.15036353148549927,0.4493153556166268
signed_velocity_dps_1m,"(0.206, 0.456]",all,v31_avg90_final60_exact,4753,0.5749508706085111,0.5802650957290133,-0.0053142251205021696,0.0053142251205021696,0.15069368487469847,0.4580778256349071
signed_velocity_dps_1m,"(0.456, 8.246]",all,v28_live_surface,4755,0.6469807502427174,0.6500525762355416,-0.0030718259928241842,0.0030718259928241842,0.1408387312266132,0.4261597736537231
signed_velocity_dps_1m,"(0.456, 8.246]",all,v28_avg90,4755,0.6515961179680161,0.6500525762355416,0.001543541732474507,0.001543541732474507,0.14076162454687205,0.42670094207455334
signed_velocity_dps_1m,"(0.456, 8.246]",all,v31_avg90_final60_exact,4755,0.651655741197182,0.6500525762355416,0.0016031649616403687,0.0016031649616403687,0.14085286277659967,0.4280505175509553
signed_velocity_dps_1m,"(-0.0812, 0.0]",validation,v28_live_surface,1220,0.46370600149558966,0.45491803278688525,0.008787968708704408,0.008787968708704408,0.13874878706404076,0.40816527979543366
