dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,brownian70_sec120,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,339.0,0.23203285420944558,76.0,True,True
v21,brownian70_sec120,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,13,7,0.65,-220.0,-0.14473684210526316,75.0,False,True
v21,brownian70_sec120,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,12,8,0.6,-368.0,-0.23469387755102042,77.0,False,True
v21,brownian70_sec120,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,-81.0,-0.054692775151924375,76.0,False,True
v21,brownian70_sec120,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-86.0,-0.05787348586810229,79.0,False,True
v21,brownian70_sec120,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,18,0.9,15,3,0.8333333333333334,87.0,0.06157112526539278,75.5,True,True
v21,brownian70_sec120,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,18,2,0.9,168.0,0.10294117647058823,78.5,True,True
v21,brownian70_sec120,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,18,2,0.9,189.0,0.11731843575418995,79.0,True,True
v21,brownian70_sec120,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,15,5,0.75,-147.0,-0.08925318761384335,80.0,False,True
v21,brownian70_sec120,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,76.0,True,True
v21,brownian70_sec120,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,18,0.9,17,1,0.9444444444444444,210.0,0.14093959731543623,81.0,True,True
v21,brownian70_sec120,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,18.0,0.21951219512195122,80.0,True,True
v21,brownian70_sec60,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,339.0,0.23203285420944558,76.0,True,True
v21,brownian70_sec60,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,13,7,0.65,-220.0,-0.14473684210526316,75.0,False,True
v21,brownian70_sec60,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,12,8,0.6,-368.0,-0.23469387755102042,77.0,False,True
v21,brownian70_sec60,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,-81.0,-0.054692775151924375,76.0,False,True
v21,brownian70_sec60,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-86.0,-0.05787348586810229,79.0,False,True
v21,brownian70_sec60,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,-7.0,-0.0046449900464499,76.0,False,True
v21,brownian70_sec60,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,18,2,0.9,168.0,0.10294117647058823,78.5,True,True
v21,brownian70_sec60,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,18,2,0.9,189.0,0.11731843575418995,79.0,True,True
v21,brownian70_sec60,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,15,5,0.75,-147.0,-0.08925318761384335,80.0,False,True
v21,brownian70_sec60,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,76.0,True,True
