source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents
rejected_actionable,KXBTC15M-26MAY051745-45,no,ask_too_high,0.983217,1.0,0.00028166908899999977,95_100,True,0.821688,95,605.377,88.624797,0.09448471806824767,False,10
rejected_actionable,KXBTC15M-26MAY051745-45,yes,p_below_floor,0.21978,0.0,0.0483032484,00_50,True,-12.52204,31,868.757,107.444854,0.5423839624480261,True,-62
entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.85382,1.0,0.021368592399999994,85_90,True,3.882043,78,712.553,94.543639,0.3496464060083165,True,-24
entry,KXBTC15M-26MAY051800-00,yes,approved_entry,0.858155,1.0,0.020120004025,85_90,True,2.315549,80,581.532,85.666357,0.28302462076710433,True,40
rejected_actionable,KXBTC15M-26MAY051800-00,no,p_below_floor,0.470124,0.0,0.22101657537599997,00_50,True,-2.987592,46,868.903,104.691276,0.9815365482838599,True,-92
rejected_actionable,KXBTC15M-26MAY051800-00,yes,p_below_floor,0.529876,1.0,0.22101657537599997,50_60,True,-6.012408,55,868.903,104.691276,0.9815365482838599,True,90
rejected_actionable,KXBTC15M-26MAY051800-00,yes,edge_below_floor,0.85314,1.0,0.021567859599999996,85_90,True,1.813954,80,592.712,86.484635,0.2950653292459932,True,40
rejected_actionable,KXBTC15M-26MAY051800-00,yes,ask_too_high,0.949598,1.0,0.0025403616039999946,90_95,True,-0.54021,93,460.869,76.324599,0.1290863957864288,False,14
entry,KXBTC15M-26MAY051815-15,yes,approved_entry,0.865481,0.0,0.7490573613609999,85_90,True,2.048056,81,737.648,96.28496,0.3479522342160163,True,24
rejected_actionable,KXBTC15M-26MAY051815-15,no,p_below_floor,0.22087,1.0,0.6070435569,00_50,True,-8.41302,27,883.663,103.02218,0.5227973434259201,True,146
rejected_actionable,KXBTC15M-26MAY051815-15,no,ask_too_high,0.880724,1.0,0.01422676417600001,85_90,True,-5.927637,91,229.365,54.743856,0.10219626847507805,False,18
rejected_actionable,KXBTC15M-26MAY051815-15,yes,p_below_floor,0.77913,0.0,0.6070435569,70_80,True,0.41302,74,883.663,103.02218,0.5227973434259201,True,-148
rejected_actionable,KXBTC15M-26MAY051815-15,yes,edge_below_floor,0.851563,0.0,0.725159542969,85_90,True,1.65632,80,737.652,96.27901,0.367333856774973,True,-160
rejected_actionable,KXBTC15M-26MAY051815-15,yes,ask_too_high,0.922243,0.0,0.850532151049,90_95,True,-3.275652,93,535.643,83.935104,0.1979518040852381,False,-186
