dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin_edge_m5__signed_move_30m_le_100,side=yes,131,89,42,0.6793893129770993,4.0,0.030534351145038167,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"score=(-1.001, 0.625]",122,81,41,0.6639344262295082,323.0,2.6475409836065573,62.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"score=(0.625, 0.65]",55,30,25,0.5454545454545454,-660.0,-12.0,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"score=(0.65, 0.7]",65,48,17,0.7384615384615385,257.0,3.953846153846154,68.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"score=(0.7, 0.8]",36,30,6,0.8333333333333334,218.0,6.055555555555555,75.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"edge=(-3.0, 0.0]",239,169,70,0.7071129707112971,594.0,2.485355648535565,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"edge=(-5.0, -3.0]",49,29,20,0.5918367346938775,-405.0,-8.26530612244898,64.0,-3.0
current,book_margin_edge_m5__signed_move_30m_le_100,"ask=(60.0, 70.0]",241,158,83,0.6556016597510373,-107.0,-0.44398340248962653,63.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"ask=(70.0, 80.0]",37,31,6,0.8378378378378378,245.0,6.621621621621622,75.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"time=(-1.001, 600.0]",38,28,10,0.7368421052631579,173.0,4.552631578947368,64.5,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,"time=(600.0, 720.0]",52,35,17,0.6730769230769231,-43.0,-0.8269230769230769,65.0,-2.5
