market,entry_dt,side,split_base,outcome_base,win_base,entry_ask_cents_base,entry_p_side_base,entry_seconds_to_close_base,exit_type_base,exit_dt_base,exit_bid_cents_base,exit_p_side_base,settled_base,fee_1c_cents_base,split_asym,outcome_asym,win_asym,entry_ask_cents_asym,entry_p_side_asym,entry_seconds_to_close_asym,exit_type_asym,exit_dt_asym,exit_bid_cents_asym,exit_p_side_asym,settled_asym,fee_1c_cents_asym,delta_fee_1c_cents,abs_delta_fee_1c_cents
KXBTC15M-26MAY011745-45,2026-05-01 21:38:41.211000+00:00,yes,train,yes,True,93.0,0.931195538156032,378.789,settlement_win,,,,True,11.0,train,yes,True,93.0,0.931195538156032,378.789,settlement_win,,,,True,11.0,0.0,0.0
KXBTC15M-26MAY011800-00,2026-05-01 21:51:12.187000+00:00,yes,train,yes,True,71.0,0.766688662784199,527.813,settlement_win,,,,True,53.0,train,yes,True,71.0,0.766688662784199,527.813,settlement_win,,,,True,53.0,0.0,0.0
KXBTC15M-26MAY011815-15,2026-05-01 22:07:43.505000+00:00,yes,train,yes,True,84.0,0.8522832735411789,436.495,settlement_win,,,,True,28.0,train,yes,True,84.0,0.8522832735411789,436.495,settlement_win,,,,True,28.0,0.0,0.0
KXBTC15M-26MAY011830-30,2026-05-01 22:25:29.895000+00:00,yes,train,yes,True,96.0,0.9613906887156652,270.105,settlement_win,,,,True,5.0,train,yes,True,96.0,0.9613906887156652,270.105,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY011900-00,2026-05-01 22:58:02.535000+00:00,no,train,no,True,99.0,0.9918240300190552,117.465,settlement_win,,,,True,-1.0,train,no,True,99.0,0.9918240300190552,117.465,settlement_win,,,,True,-1.0,0.0,0.0
KXBTC15M-26MAY011915-15,2026-05-01 23:12:48.950000+00:00,yes,train,no,False,42.0,0.7703126408625443,131.05,probability_reduce,2026-05-01 23:14:04.030000+00:00,47.0,0.43682195055753414,False,0.0,train,no,False,42.0,0.7703126408625443,131.05,probability_reduce,2026-05-01 23:14:04.030000+00:00,47.0,0.43682195055753414,False,0.0,0.0,0.0
KXBTC15M-26MAY011100-00,2026-05-01 14:52:05.900000+00:00,yes,train,yes,True,96.0,0.981138566932212,474.1,settlement_win,,,,True,5.0,train,yes,True,96.0,0.981138566932212,474.1,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY011115-15,2026-05-01 15:05:07.133000+00:00,no,train,yes,False,69.0,0.7499348488320712,592.867,probability_reduce,2026-05-01 15:12:07.753000+00:00,50.0,0.485,False,-47.0,train,yes,False,69.0,0.7499348488320712,592.867,probability_reduce,2026-05-01 15:12:07.753000+00:00,50.0,0.485,False,-47.0,0.0,0.0
KXBTC15M-26MAY011130-30,2026-05-01 15:23:08.814000+00:00,yes,train,yes,True,67.0,0.7077558306362608,411.186,settlement_win,,,,True,60.0,train,yes,True,67.0,0.7077558306362608,411.186,settlement_win,,,,True,60.0,0.0,0.0
KXBTC15M-26MAY011145-45,2026-05-01 15:38:24.931000+00:00,yes,train,yes,True,95.0,0.9714217772834204,395.069,settlement_win,,,,True,7.0,train,yes,True,95.0,0.9714217772834204,395.069,settlement_win,,,,True,7.0,0.0,0.0
KXBTC15M-26MAY011200-00,2026-05-01 15:52:41.200000+00:00,no,train,no,True,97.0,0.9974339748031463,438.8,settlement_win,,,,True,3.0,train,no,True,97.0,0.9974339748031463,438.8,settlement_win,,,,True,3.0,0.0,0.0
KXBTC15M-26MAY012130-30,2026-05-02 01:23:48.710000+00:00,no,train,no,True,72.0,0.7260188636121448,371.29,settlement_win,,,,True,51.0,train,no,True,72.0,0.7260188636121448,371.29,settlement_win,,,,True,51.0,0.0,0.0
KXBTC15M-26MAY012145-45,2026-05-02 01:35:19.719000+00:00,yes,train,no,False,75.0,0.7582111416617904,580.281,probability_reduce,2026-05-02 01:40:20.265000+00:00,50.0,0.5163731331158894,False,-59.0,train,no,False,75.0,0.7582111416617904,580.281,probability_reduce,2026-05-02 01:40:20.265000+00:00,50.0,0.5163731331158894,False,-59.0,0.0,0.0
KXBTC15M-26MAY012200-00,2026-05-02 01:54:51.733000+00:00,no,train,no,True,46.0,0.6789526658922169,308.267,probability_reduce,2026-05-02 01:55:06.769000+00:00,52.0,0.4569565810918451,False,2.0,train,no,True,46.0,0.6789526658922169,308.267,probability_reduce,2026-05-02 01:55:06.769000+00:00,52.0,0.4569565810918451,False,2.0,0.0,0.0
