model,split,bin,rows,mean_pred,realized,error
v28_avg60,validation,"[0.600,0.650]",82,0.6260142613901082,0.6341463414634146,-0.008132080073306458
v28_avg60,validation,"[0.650,0.700]",63,0.6758612086385067,0.6666666666666666,0.009194541971840109
v28_avg60,validation,"[0.700,0.750]",46,0.7255299713064371,0.6304347826086957,0.09509518869774147
v28_avg60,validation,"[0.750,0.800]",59,0.7746270851613873,0.7796610169491526,-0.005033931787765233
v28_avg60,validation,"[0.800,0.850]",46,0.8217176497360513,0.8043478260869565,0.017369823649094784
v28_avg60,validation,"[0.850,0.900]",62,0.8774488341788861,0.9354838709677419,-0.0580350367888558
v28_avg60,validation,"[0.900,0.950]",87,0.9266239939705716,0.9425287356321839,-0.015904741661612265
v28_avg60,validation,"[0.950,0.975]",66,0.9630984984028195,0.9242424242424242,0.03885607416039527
v28_avg60,validation,"[0.975,1.000]",224,0.9925224834644354,0.9910714285714286,0.0014510548930067868
v28_avg60,holdout,"[0.500,0.550]",171,0.5256790013708179,0.5380116959064327,-0.012332694535614808
v28_avg60,holdout,"[0.550,0.600]",122,0.5728928617481808,0.6147540983606558,-0.041861236612474984
v28_avg60,holdout,"[0.600,0.650]",93,0.623538059352778,0.6344086021505376,-0.010870542797759675
v28_avg60,holdout,"[0.650,0.700]",72,0.6747021107523877,0.7222222222222222,-0.04752011146983448
v28_avg60,holdout,"[0.700,0.750]",56,0.7225249183076617,0.7142857142857143,0.008239204021947444
v28_avg60,holdout,"[0.750,0.800]",71,0.7766073777835396,0.8028169014084507,-0.026209523624911135
v28_avg60,holdout,"[0.800,0.850]",50,0.8266343044108763,0.9,-0.07336569558912376
v28_avg60,holdout,"[0.850,0.900]",47,0.8729921724695597,0.8936170212765957,-0.020624848807035967
v28_avg60,holdout,"[0.900,0.950]",65,0.9280101628533836,0.9076923076923077,0.02031785516107587
v28_avg60,holdout,"[0.950,0.975]",49,0.9650170058882397,0.9591836734693877,0.0058333324188519775
v28_avg60,holdout,"[0.975,1.000]",182,0.9939904178714017,0.9945054945054945,-0.0005150766340927815
v28_avg30,all,"[0.500,0.550]",857,0.5246977731656886,0.5262543757292882,-0.001556602563599685
v28_avg30,all,"[0.550,0.600]",632,0.5734234015574295,0.615506329113924,-0.042082927556494454
v28_avg30,all,"[0.600,0.650]",458,0.6228785571422244,0.6724890829694323,-0.04961052582720793
v28_avg30,all,"[0.650,0.700]",364,0.6742171543331662,0.7060439560439561,-0.03182680171078989
v28_avg30,all,"[0.700,0.750]",283,0.7247350910416551,0.7491166077738516,-0.024381516732196462
v28_avg30,all,"[0.750,0.800]",300,0.775865666519329,0.7866666666666666,-0.010801000147337647
v28_avg30,all,"[0.800,0.850]",258,0.8270302626568019,0.8837209302325582,-0.05669066757575625
v28_avg30,all,"[0.850,0.900]",289,0.8747871862885358,0.916955017301038,-0.04216783101250221
v28_avg30,all,"[0.900,0.950]",381,0.9249731903237483,0.937007874015748,-0.012034683691999781
v28_avg30,all,"[0.950,0.975]",270,0.963342163006542,0.9481481481481482,0.015194014858393778
v28_avg30,all,"[0.975,1.000]",806,0.9929847634957767,0.9937965260545906,-0.0008117625588138777
v28_avg30,train,"[0.500,0.550]",535,0.5246151023048473,0.5327102803738317,-0.00809517806898441
v28_avg30,train,"[0.550,0.600]",406,0.573058619011351,0.6133004926108374,-0.04024187359948639
v28_avg30,train,"[0.600,0.650]",285,0.6224090315515063,0.6947368421052632,-0.07232781055375692
v28_avg30,train,"[0.650,0.700]",226,0.6742201277030704,0.7079646017699115,-0.03374447406684111
v28_avg30,train,"[0.700,0.750]",174,0.7249004294840946,0.7758620689655172,-0.05096163948142263
v28_avg30,train,"[0.750,0.800]",168,0.7756320009164293,0.7916666666666666,-0.016034665750237376
v28_avg30,train,"[0.800,0.850]",165,0.827268725359356,0.8848484848484849,-0.05757975948912886
v28_avg30,train,"[0.850,0.900]",189,0.8749813849083544,0.9206349206349206,-0.04565353572656616
v28_avg30,train,"[0.900,0.950]",222,0.924850574260931,0.9504504504504504,-0.02559987618951942
v28_avg30,train,"[0.950,0.975]",159,0.963074331170806,0.949685534591195,0.013388796579611006
v28_avg30,train,"[0.975,1.000]",409,0.9930050260336545,0.9926650366748166,0.0003399893588378333
v28_avg30,validation,"[0.500,0.550]",146,0.5234167160577918,0.4863013698630137,0.03711534619477813
v28_avg30,validation,"[0.550,0.600]",105,0.574803999890864,0.6095238095238096,-0.03471980963294563
v28_avg30,validation,"[0.600,0.650]",82,0.6258244854750313,0.6341463414634146,-0.008321855988383309
v28_avg30,validation,"[0.650,0.700]",61,0.6746410894056516,0.6885245901639344,-0.013883500758282818
v28_avg30,validation,"[0.700,0.750]",52,0.7254570427943828,0.6538461538461539,0.07161088894822898
v28_avg30,validation,"[0.750,0.800]",60,0.7756216333078785,0.75,0.025621633307878477
v28_avg30,validation,"[0.800,0.850]",42,0.8242316785028763,0.8571428571428571,-0.03291117863998083
v28_avg30,validation,"[0.850,0.900]",61,0.8759336935994332,0.9344262295081968,-0.05849253590876358
v28_avg30,validation,"[0.900,0.950]",93,0.9249733990039777,0.9247311827956989,0.00024221620827880042
v28_avg30,validation,"[0.950,0.975]",62,0.963343320101761,0.9354838709677419,0.027859449134019165
v28_avg30,validation,"[0.975,1.000]",218,0.9921020850778169,0.9954128440366973,-0.0033107589588803332
v28_avg30,holdout,"[0.500,0.550]",176,0.526011768894683,0.5397727272727273,-0.013760958378044252
v28_avg30,holdout,"[0.550,0.600]",121,0.5734493427863324,0.628099173553719,-0.05464983076738661
v28_avg30,holdout,"[0.600,0.650]",91,0.6216944765934833,0.6373626373626373,-0.015668160769154005
v28_avg30,holdout,"[0.650,0.700]",77,0.673872582631608,0.7142857142857143,-0.040413131654106316
v28_avg30,holdout,"[0.700,0.750]",57,0.7235717510394395,0.7543859649122807,-0.030814213872841223
v28_avg30,holdout,"[0.750,0.800]",72,0.7766142472689705,0.8055555555555556,-0.028941308286585032
v28_avg30,holdout,"[0.800,0.850]",51,0.8285634820400067,0.9019607843137255,-0.07339730227371877
v28_avg30,holdout,"[0.850,0.900]",39,0.8720528148754474,0.8717948717948718,0.00025794308057558446
v28_avg30,holdout,"[0.900,0.950]",66,0.9253853321219924,0.9090909090909091,0.016294423031083305
