dataset,score,bin,rows,wins,accuracy,mean_score,median_ask,median_seconds_to_close
v21,tail_p_rv_30m_200,"[0.9, 0.95)",111,111,1.0,0.9238010342500174,99.0,179.660539
v21,tail_p_rv_30m_200,"[0.95, 0.975)",60,60,1.0,0.9623181337437728,100.0,119.724666
v21,tail_p_rv_30m_200,"[0.975, 1.001)",124,124,1.0,0.9921070989387177,100.0,116.82869600000001
v21,tail_p_rv_30m_300,"[0.5, 0.6)",2003,1275,0.63654518222666,0.5387551656493087,63.0,599.834424
v21,tail_p_rv_30m_300,"[0.6, 0.7)",678,601,0.8864306784660767,0.6438375554217138,90.0,389.131935
v21,tail_p_rv_30m_300,"[0.7, 0.8)",294,288,0.9795918367346939,0.7453865452534431,98.0,239.534789
v21,tail_p_rv_30m_300,"[0.8, 0.9)",171,171,1.0,0.8447378897109484,100.0,179.225377
v21,tail_p_rv_30m_300,"[0.9, 0.95)",67,67,1.0,0.9270460878125691,100.0,119.506743
v21,tail_p_rv_30m_300,"[0.95, 0.975)",32,32,1.0,0.9617793980863567,100.0,88.19375550000001
v21,tail_p_rv_30m_300,"[0.975, 1.001)",32,32,1.0,0.990383330550938,100.0,59.3353635
v21,tail_p_mean_rv_200,"[0.5, 0.6)",1593,971,0.6095417451349655,0.542595415730121,60.0,659.482903
v21,tail_p_mean_rv_200,"[0.6, 0.7)",714,559,0.7829131652661064,0.6441421532669133,82.0,479.28108799999995
v21,tail_p_mean_rv_200,"[0.7, 0.8)",424,393,0.9268867924528302,0.7438580910571927,93.0,299.9387405
v21,tail_p_mean_rv_200,"[0.8, 0.9)",264,261,0.9886363636363636,0.8491607494666155,98.0,239.5537095
v21,tail_p_mean_rv_200,"[0.9, 0.95)",111,111,1.0,0.9236007701006129,100.0,179.251347
v21,tail_p_mean_rv_200,"[0.95, 0.975)",55,55,1.0,0.9624227845822135,100.0,119.400972
v21,tail_p_mean_rv_200,"[0.975, 1.001)",116,116,1.0,0.9908921120822107,100.0,59.97055
v21,tail_p_min_rv_200,"[0.5, 0.6)",1742,1079,0.6194029850746269,0.5415438619076435,61.0,659.2268799999999
v21,tail_p_min_rv_200,"[0.6, 0.7)",693,567,0.8181818181818182,0.6453978189723815,84.0,479.184613
v21,tail_p_min_rv_200,"[0.7, 0.8)",380,358,0.9421052631578948,0.7434070484048895,95.0,299.54740449999997
v21,tail_p_min_rv_200,"[0.8, 0.9)",246,246,1.0,0.8487272965967416,99.0,239.11607600000002
v21,tail_p_min_rv_200,"[0.9, 0.95)",74,74,1.0,0.9221422251095166,100.0,179.032117
v21,tail_p_min_rv_200,"[0.95, 0.975)",54,54,1.0,0.9624199018987041,100.0,119.47827000000001
v21,tail_p_min_rv_200,"[0.975, 1.001)",88,88,1.0,0.9905313009504194,100.0,59.564425
