dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,mean_p_yes,yes_rate
all_heartbeats,holdout,abs_v32_d_sigma,"(0.5, 0.75]",397,-0.0006136555813045785,-0.0021639653542778747,0.18033065732698292,0.5460633298040632,0.4690302920437528,0.45591939546599497
all_heartbeats,holdout,abs_v32_d_sigma,"(0.75, 1.0]",309,-3.0023828141143016e-05,0.0001830015597750756,0.12000702211496372,0.40366829337251253,0.439532142489747,0.36893203883495146
all_heartbeats,holdout,abs_v32_d_sigma,"(1.0, 1.5]",308,-0.0007750188837286204,-0.00472664375308901,0.09102985328229395,0.3229395463936745,0.39800240088605016,0.41883116883116883
all_heartbeats,holdout,abs_v32_d_sigma,"(1.5, 2.0]",191,0.00038371611262824623,0.003004871624733174,0.09838390654376246,0.3797493565219018,0.3960369810933697,0.4816753926701571
all_heartbeats,holdout,abs_v32_d_sigma,"(2.0, inf]",925,5.840586619506455e-05,0.00154152259682519,0.006491034719740394,0.03818475174432772,0.5029502192614372,0.5081081081081081
all_heartbeats,all,abs_v35_d_sigma,"(-0.001, 0.25]",5175,5.8777124888304e-05,0.00011968319796962223,0.24426165331165492,0.6815830409247899,0.4948425702856972,0.47594202898550725
all_heartbeats,all,abs_v35_d_sigma,"(0.25, 0.5]",3138,0.00012471260064883527,0.00032081151590701573,0.21483622511103317,0.6209661908483309,0.492879443422368,0.48565965583174
all_heartbeats,all,abs_v35_d_sigma,"(0.5, 0.75]",2003,0.00041068281272649276,0.0015791481146399944,0.1925355018440641,0.573185211002085,0.4752681570925893,0.47578632051922115
all_heartbeats,all,abs_v35_d_sigma,"(0.75, 1.0]",1504,-0.0006138570398852572,-0.0020414617640322485,0.12031146603126523,0.4026068845506838,0.48136621998069484,0.456781914893617
all_heartbeats,all,abs_v35_d_sigma,"(1.0, 1.5]",1855,0.00012342471814189016,0.0012155002142489324,0.07323632649454913,0.27459989095495796,0.484527313123901,0.48517520215633425
all_heartbeats,all,abs_v35_d_sigma,"(1.5, 2.0]",1212,-0.0001798470356835502,-0.003733760744300929,0.06838977102021222,0.2726886528516543,0.5364155303257396,0.5115511551155115
all_heartbeats,all,abs_v35_d_sigma,"(2.0, inf]",4134,4.547430811617861e-05,0.0035995859022375093,0.013103628365603076,0.07754448577499216,0.5577350226434187,0.5524915336236091
all_heartbeats,train,abs_v35_d_sigma,"(-0.001, 0.25]",3299,5.7609917767070806e-05,0.00011598363137033108,0.24331078149756913,0.6797506760678439,0.4946094337615326,0.49408911791451954
all_heartbeats,train,abs_v35_d_sigma,"(0.25, 0.5]",1924,0.00010002418939172864,0.00024517891897701816,0.21084647266292836,0.6129276815169599,0.4976177831827082,0.5015592515592515
all_heartbeats,train,abs_v35_d_sigma,"(0.5, 0.75]",1242,0.0011078514375278958,0.0039819248187185075,0.18667391805697925,0.5600911718887834,0.4847802087733459,0.5040257648953301
all_heartbeats,train,abs_v35_d_sigma,"(0.75, 1.0]",920,-0.00048169227555715233,-0.0016822575816121677,0.11291925131522366,0.3850048364799678,0.48102482261180457,0.46304347826086956
all_heartbeats,train,abs_v35_d_sigma,"(1.0, 1.5]",1151,0.0002572989851000185,0.001993721374723423,0.07057930387131599,0.26770854282856477,0.505849023501343,0.5047784535186794
all_heartbeats,train,abs_v35_d_sigma,"(1.5, 2.0]",684,-0.00027472989722225616,-0.007194674948681867,0.06623068372270804,0.2661573078097079,0.5848196828896852,0.533625730994152
all_heartbeats,train,abs_v35_d_sigma,"(2.0, inf]",2178,8.772935829880896e-05,0.006621221990378914,0.016351221842191642,0.1049141445190904,0.5663048826594727,0.5564738292011019
all_heartbeats,validation,abs_v35_d_sigma,"(-0.001, 0.25]",854,6.826054121622516e-05,0.00014082162965078915,0.24410612636547627,0.6809422895573333,0.49861283135989193,0.4953161592505855
all_heartbeats,validation,abs_v35_d_sigma,"(0.25, 0.5]",590,-2.7680019989706484e-05,4.417870626660658e-05,0.22104213344037413,0.6332850799722219,0.48464790755599974,0.5423728813559322
all_heartbeats,validation,abs_v35_d_sigma,"(0.5, 0.75]",381,-0.001003693572219827,-0.003525906825764258,0.20929965116421145,0.6096325657727457,0.4644552129267311,0.4330708661417323
all_heartbeats,validation,abs_v35_d_sigma,"(0.75, 1.0]",267,5.4091357859248346e-05,0.0014807857454175455,0.14785736186522994,0.4653356635970036,0.5205091848978552,0.4943820224719101
all_heartbeats,validation,abs_v35_d_sigma,"(1.0, 1.5]",398,-0.0004966161532794361,-0.0020112453795853302,0.06440888958362742,0.24835366806873896,0.46874452298568864,0.47738693467336685
all_heartbeats,validation,abs_v35_d_sigma,"(1.5, 2.0]",324,-0.00011654971805646203,-0.00020948062621778396,0.0612893713704859,0.2484189180425082,0.5328944654801042,0.5030864197530864
all_heartbeats,validation,abs_v35_d_sigma,"(2.0, inf]",1004,-3.9473828926037124e-06,-3.7867178037630234e-05,0.00873712424335587,0.04178330430003418,0.5945929816190431,0.5856573705179283
all_heartbeats,holdout,abs_v35_d_sigma,"(-0.001, 0.25]",1022,5.462035262693288e-05,0.00011396172003885763,0.24746101351391098,0.6880333083718275,0.4924446392053227,0.40117416829745595
