market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR252000-00,no,finalized,2026-04-26T00:00:19.921752Z,2026-04-26T00:00:00Z,2026-04-26T00:00:00Z,active,2026-04-25 19:45:14,2026-04-25 20:00:05,120,kalshi_api
KXBTC15M-26APR252015-15,no,finalized,2026-04-26T00:15:09.919179Z,2026-04-26T00:15:00Z,2026-04-26T00:15:00Z,active,2026-04-25 20:00:14,2026-04-25 20:15:22,122,kalshi_api
KXBTC15M-26APR252030-30,no,finalized,2026-04-26T00:30:09.864636Z,2026-04-26T00:30:00Z,2026-04-26T00:30:00Z,active,2026-04-25 20:15:29,2026-04-25 20:30:24,120,kalshi_api
KXBTC15M-26APR252045-45,yes,finalized,2026-04-26T00:45:09.870935Z,2026-04-26T00:45:00Z,2026-04-26T00:45:00Z,active,2026-04-25 20:30:29,2026-04-25 20:45:11,118,kalshi_api
KXBTC15M-26APR252100-00,no,finalized,2026-04-26T01:00:19.915731Z,2026-04-26T01:00:00Z,2026-04-26T01:00:00Z,active,2026-04-25 20:45:14,2026-04-25 21:00:28,122,kalshi_api
KXBTC15M-26APR252115-15,no,finalized,2026-04-26T01:15:09.926449Z,2026-04-26T01:15:00Z,2026-04-26T01:15:00Z,active,2026-04-25 21:00:29,2026-04-25 21:15:15,118,kalshi_api
KXBTC15M-26APR252130-30,yes,finalized,2026-04-26T01:30:09.918754Z,2026-04-26T01:30:00Z,2026-04-26T01:30:00Z,active,2026-04-25 21:15:29,2026-04-25 21:30:17,120,kalshi_api
KXBTC15M-26APR252145-45,yes,finalized,2026-04-26T01:45:09.973148Z,2026-04-26T01:45:00Z,2026-04-26T01:45:00Z,active,2026-04-25 21:30:29,2026-04-25 21:45:04,118,kalshi_api
KXBTC15M-26APR252200-00,no,finalized,2026-04-26T02:00:09.931293Z,2026-04-26T02:00:00Z,2026-04-26T02:00:00Z,active,2026-04-25 21:45:14,2026-04-25 22:00:10,120,kalshi_api
KXBTC15M-26APR252215-15,yes,finalized,2026-04-26T02:15:09.920139Z,2026-04-26T02:15:00Z,2026-04-26T02:15:00Z,active,2026-04-25 22:00:13,2026-04-25 22:15:16,120,kalshi_api
