market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR060145-45,yes,finalized,2026-04-06T05:45:13.531433Z,2026-04-06T05:45:00Z,2026-04-06T05:45:00Z,active,2026-04-06 01:30:21,2026-04-06 01:45:08,60,kalshi_api
KXBTC15M-26APR060200-00,no,finalized,2026-04-06T06:00:13.483709Z,2026-04-06T06:00:00Z,2026-04-06T06:00:00Z,active,2026-04-06 01:45:21,2026-04-06 02:00:25,61,kalshi_api
KXBTC15M-26APR060215-15,yes,finalized,2026-04-06T06:15:13.685574Z,2026-04-06T06:15:00Z,2026-04-06T06:15:00Z,active,2026-04-06 02:00:36,2026-04-06 02:15:27,60,kalshi_api
KXBTC15M-26APR060230-30,no,finalized,2026-04-06T06:30:13.431027Z,2026-04-06T06:30:00Z,2026-04-06T06:30:00Z,active,2026-04-06 02:15:36,2026-04-06 02:30:14,59,kalshi_api
KXBTC15M-26APR060245-45,yes,finalized,2026-04-06T06:45:13.732175Z,2026-04-06T06:45:00Z,2026-04-06T06:45:00Z,active,2026-04-06 02:30:21,2026-04-06 02:45:15,60,kalshi_api
KXBTC15M-26APR060300-00,yes,determined,,2026-04-06T07:00:00Z,2026-04-06T07:00:00Z,active,2026-04-06 02:45:21,2026-04-06 03:00:17,60,kalshi_api
KXBTC15M-26APR060315-15,no,finalized,2026-04-06T07:15:13.429065Z,2026-04-06T07:15:00Z,2026-04-06T07:15:00Z,active,2026-04-06 03:00:21,2026-04-06 03:15:34,61,kalshi_api
KXBTC15M-26APR060330-30,yes,finalized,2026-04-06T07:30:13.482331Z,2026-04-06T07:30:00Z,2026-04-06T07:30:00Z,active,2026-04-06 03:15:36,2026-04-06 03:30:05,58,kalshi_api
KXBTC15M-26APR060345-45,no,finalized,2026-04-06T07:45:13.532257Z,2026-04-06T07:45:00Z,2026-04-06T07:45:00Z,active,2026-04-06 03:30:06,2026-04-06 03:45:07,60,kalshi_api
KXBTC15M-26APR060400-00,yes,finalized,2026-04-06T08:00:13.485665Z,2026-04-06T08:00:00Z,2026-04-06T08:00:00Z,active,2026-04-06 03:45:21,2026-04-06 04:00:09,60,kalshi_api
