row_id,market_ticker,decision_ts_utc,market_close_ts_utc,source_type,source_reason,source_quality_tier,side,allowed_for_training,allowed_for_validation,allowed_for_holdout,allowed_for_forward_promotion,target_y_yes_win,target_v28_p_yes,target_brier_yes,target_logloss_yes,row_is_posthoc,row_is_simulated,v28_logit_yes,v28_p_yes_centered,v28_abs_logit_yes,v28_side_probability,seconds_to_close,minutes_to_close,time_frac_15m,late_window_lte_180s,final_avg_effective_horizon_minutes,final_avg_variance_compression,final_avg_uncertainty_scale,final_avg_elapsed_window_fraction,final_avg_sigma_proxy_dollars,final_avg_d_sigma_proxy,final_avg_abs_d_sigma_proxy,sigma_t_dollars,log1p_sigma_t_dollars,sigma_t_missing,recross_hazard_score,recross_hazard_missing,recross_hazard_high,ask_cents,ask_missing,ask_frac,edge_cents,edge_missing,side_is_yes,source_is_entry,source_is_rejected_actionable
67da79e3ee837328aa29ac94,KXBTC15M-26MAY060345-45,2026-05-06T03:30:31.158Z,2026-05-06T03:45:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,0.0,0.515105,0.26533316102500004,0.7238229063284067,1,1,0.06043839072373621,0.015105000000000035,0.06043839072373621,0.515105,868.842,14.4807,0.96538,0,13.4807,0.9309425649312534,0.9648536494884876,0.0,95.41615948260714,0.0,0.0,98.891847,4.604088070712487,0,0.9112189011273799,0,1,38.0,0,0.38,9.510544,0,1,0,1
1f8bcc7b136ca945b5f545dd,KXBTC15M-26MAY060400-00,2026-05-06T03:46:24.425Z,2026-05-06T04:00:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.53904,0.29056412159999995,0.7744440076459186,1,1,0.15647850832202428,0.039039999999999964,0.15647850832202428,0.46096,815.575,13.592916666666667,0.9061944444444445,0,12.592916666666667,0.9264322717101432,0.9625135176765796,0.0,94.95963456409804,0.0,0.0,98.657975,4.601744073561934,0,0.8947492172911345,0,1,37.0,0,0.37,5.095961,0,0,0,1
4da09925cd1214981c5c4bfc,KXBTC15M-26MAY060400-00,2026-05-06T03:55:37.222Z,2026-05-06T04:00:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,0.0,0.02176800000000001,0.0004738458240000004,0.02200841826534777,1,1,-3.8053058592358435,-0.478232,3.8053058592358435,0.978232,262.778,4.3796333333333335,0.2919755555555556,0,3.3796333333333335,0.7716703833654264,0.8784477123684861,0.0,50.93287008954636,0.0,0.0,57.980537,4.077207508126964,0,0.05276578035271541,0,0,97.0,0,0.97,-1.676827,0,0,0,1
f1708de89e8985a2adce7fe8,KXBTC15M-26MAY060400-00,2026-05-06T03:46:24.425Z,2026-05-06T04:00:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,0.0,0.53904,0.29056412159999995,0.7744440076459186,1,1,0.15647850832202428,0.039039999999999964,0.15647850832202428,0.53904,815.575,13.592916666666667,0.9061944444444445,0,12.592916666666667,0.9264322717101432,0.9625135176765796,0.0,94.95963456409804,0.0,0.0,98.657975,4.601744073561934,0,0.8947492172911345,0,1,64.0,0,0.64,-14.095961,0,1,0,1
b98cb4193178df01d9c84a36,KXBTC15M-26MAY060415-15,2026-05-06T04:01:15.097Z,2026-05-06T04:15:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.49374300000000004,0.25629615004899997,0.7057401400824929,1,1,-0.025029306586004187,-0.006256999999999957,0.025029306586004187,0.506257,824.903,13.748383333333333,0.9165588888888889,0,12.748383333333333,0.9272641753030356,0.9629455723471787,0.0,97.07808004740632,0.0,0.0,100.813673,4.623144407474533,0,0.9196448882012608,0,1,61.0,0,0.61,-14.374271,0,0,0,1
8545f04a724ea5254083795e,KXBTC15M-26MAY060415-15,2026-05-06T04:01:15.097Z,2026-05-06T04:15:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.493743,0.25629615004899997,0.705740140082493,1,1,-0.025029306586004302,-0.0062570000000000126,0.025029306586004302,0.493743,824.903,13.748383333333333,0.9165588888888889,0,12.748383333333333,0.9272641753030356,0.9629455723471787,0.0,97.07808004740632,0.0,0.0,100.813673,4.623144407474533,0,0.9196448882012608,0,1,40.0,0,0.4,5.374271,0,1,0,1
178ebf0dfd8a600994928f59,KXBTC15M-26MAY060415-15,2026-05-06T04:03:18.135Z,2026-05-06T04:15:00Z,rejected_actionable,edge_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.916604,0.006954892816000004,0.08707974296289332,1,1,2.3970751894354336,0.416604,2.3970751894354336,0.916604,701.865,11.697750000000001,0.77985,0,10.697750000000001,0.9145134748135325,0.9563019788819495,0.0,89.55433804687839,0.0,0.0,93.646505,4.550148951458513,0,0.27256206745314365,0,1,87.0,0,0.87,1.66036,0,1,0,1
5fa97bc5396e00884a308880,KXBTC15M-26MAY060415-15,2026-05-06T04:03:43.603Z,2026-05-06T04:15:00Z,rejected_actionable,ask_too_high,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.970418,0.0008750947239999998,0.030028372472390864,1,1,3.490560838260568,0.470418,3.490560838260568,0.970418,676.397,11.273283333333334,0.7515522222222223,0,10.273283333333334,0.9112946982319555,0.9546175664798734,0.0,87.80834037156848,0.0,0.0,91.982741,4.532413895285876,0,0.15772574976080006,0,0,92.0,0,0.92,2.04182,0,1,0,1
40200399d63e39eb9b1febd8,KXBTC15M-26MAY060430-30,2026-05-06T04:17:23.616Z,2026-05-06T04:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,no,True,True,False,False,1.0,0.37866500000000003,0.38605718222499996,0.971103369787287,1,1,-0.4952184797824125,-0.12133499999999997,0.4952184797824125,0.621335,756.384,12.6064,0.8404266666666667,0,11.6064,0.9206752125904303,0.9595182189986964,0.0,90.56537831194953,0.0,0.0,94.386304,4.5579350042066515,0,0.6835674134526197,0,1,68.0,0,0.68,-9.866481,0,0,0,1
164dce34b2f1f074e9683ab8,KXBTC15M-26MAY060430-30,2026-05-06T04:17:23.616Z,2026-05-06T04:30:00Z,rejected_actionable,p_below_floor,rejected_actionable_from_posthoc_calibration_report,yes,True,True,False,False,1.0,0.378665,0.38605718222499996,0.9711033697872871,1,1,-0.4952184797824125,-0.12133500000000003,0.4952184797824125,0.378665,756.384,12.6064,0.8404266666666667,0,11.6064,0.9206752125904303,0.9595182189986964,0.0,90.56537831194953,0.0,0.0,94.386304,4.5579350042066515,0,0.6835674134526197,0,1,33.0,0,0.33,0.866481,0,1,0,1
