pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
18,34,95,0,-5.14,-7.83,2.69,-0.054105,0.612757,-0.088298,33,62,0.3474,38,57,0.4,285.11
20,30,95,0,-5.15,-7.83,2.68,-0.05421,0.603847,-0.089775,31,64,0.3263,37,58,0.3895,289.79
13,29,95,0,-5.15,-7.83,2.68,-0.05421,0.556166,-0.097472,33,62,0.3474,41,54,0.4316,264.7
12,22,95,0,-5.15,-7.83,2.68,-0.05421,0.492537,-0.110064,32,63,0.3368,41,54,0.4316,253.49
28,29,95,0,-5.16,-7.83,2.67,-0.054316,0.606801,-0.089512,29,66,0.3053,27,68,0.2842,322.16
15,15,95,0,-5.16,-7.83,2.67,-0.054316,0.469075,-0.115793,27,68,0.2842,40,55,0.4211,249.1
9,14,95,0,-5.16,-7.83,2.67,-0.054316,0.417234,-0.130181,30,65,0.3158,45,50,0.4737,218.82
15,19,95,0,-5.17,-7.83,2.66,-0.054421,0.50183,-0.108445,29,66,0.3053,39,56,0.4105,253.84
12,23,95,0,-5.18,-7.83,2.65,-0.054526,0.49301,-0.110599,32,63,0.3368,41,54,0.4316,253.59
15,18,95,0,-5.18,-7.83,2.65,-0.054526,0.485392,-0.112334,28,67,0.2947,39,56,0.4105,252.03
6,16,95,0,-5.18,-7.83,2.65,-0.054526,0.381087,-0.143081,36,59,0.3789,45,50,0.4737,207.25
20,58,95,0,-5.19,-7.83,2.64,-0.054632,0.745163,-0.073315,36,59,0.3789,31,64,0.3263,321.03
12,14,95,0,-5.2,-7.83,2.63,-0.054737,0.434765,-0.1259,28,67,0.2947,45,50,0.4737,227.61
29,19,95,0,-5.23,-7.83,2.6,-0.055053,0.531531,-0.103574,26,69,0.2737,29,66,0.3053,293.57
30,19,95,0,-5.23,-7.83,2.6,-0.055053,0.531531,-0.103574,26,69,0.2737,29,66,0.3053,293.57
31,19,95,0,-5.23,-7.83,2.6,-0.055053,0.531531,-0.103574,26,69,0.2737,29,66,0.3053,293.57
32,19,95,0,-5.23,-7.83,2.6,-0.055053,0.531531,-0.103574,26,69,0.2737,29,66,0.3053,293.57
33,19,95,0,-5.23,-7.83,2.6,-0.055053,0.531531,-0.103574,26,69,0.2737,29,66,0.3053,293.57
14,21,95,0,-5.23,-7.83,2.6,-0.055053,0.514624,-0.106976,30,65,0.3158,41,54,0.4316,257.65
16,27,95,0,-5.24,-7.83,2.59,-0.055158,0.571696,-0.096481,32,63,0.3368,39,56,0.4105,277.7
17,32,95,0,-5.25,-7.83,2.58,-0.055263,0.609026,-0.09074,33,62,0.3474,38,57,0.4,283.7
14,17,95,0,-5.25,-7.83,2.58,-0.055263,0.481743,-0.114715,28,67,0.2947,41,54,0.4316,247.91
17,66,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
17,67,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
17,68,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
